"","employment","total_number","total_median","men_number","men_median","women_number","women_median","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"39","Carpenters","737","630","727","630","10","-",1330,"41.4","47-2031","  309.89","  574.56","  276.64","   73.15","   82.46","   10.64","   2.66","2011","47-203"
"40","Chefs and head cooks","299","580","245","601","53","502",347,"38.799999999999997","35-1011","   67.32","   99.59","   75.30","   56.21","   43.03","    3.82","   1.74","2011","35-101"
"41","Chemical engineers","73","1757","57","1885","16","-",74,"43.1","17-2041","    0.00","    2.22","    3.40","    2.89","   40.92","   17.32","   7.25","2011","17-204"
"42","Chemical technicians","69","788","40","-","29","-",77,"40.5","19-4031","    2.85","   17.94","   20.64","    9.09","   20.87","    3.23","   2.39","2011","19-403"
"43","Childcare workers","367","382","26","-","342","383",1231,"37.200000000000003","39-9011","  174.80","  406.23","  337.29","  120.64","  158.80","   28.31","   3.69","2011","39-901"
"44","Chiropractors","5","-","3","-","2","-",56,"48","29-1011","    0.00","    0.28","    0.39","    0.45","    1.74","    1.29","  51.86","2011","29-101"
"45","Civil engineers","335","1398","289","1436","46","-",383,"42.5","17-2051","    0.38","   10.72","   27.19","   18.00","  222.52","   90.39","  13.79","2011","17-205"
"46","Cleaners of vehicles and equipment","230","465","206","458","25","-",331,"32.700000000000003","53-7061","  112.87","  139.35","   51.97","   13.57","   11.25","    1.32","   0.66","2011","53-706"
"47","Clergy","343","945","292","961","51","889",414,"52.5","21-2011","    8.69","   24.84","   52.16","   17.39","   99.77","  141.59","  69.14","2011","21-201"
"48","Coin, vending, and amusement machine servicers and repairers","29","-","27","-","1","-",46,"–","49-9091","    4.78","   19.87","   12.05","    4.37","    4.60","    0.18","   0.18","2011","49-909"
"49","Combined food preparation and serving workers, including fast food","161","387","46","-","114","385",326,"28.1","35-3021","   71.72","  147.03","   71.07","   16.63","   16.95","    2.28","   0.33","2011","35-302"
"50","Communications equipment operators, all other","6","-","4","-","3","-",7,"–","43-2099","    0.13","    1.25","    1.91","    0.95","    2.26","    0.44","   0.04","2011","43-209"
"51","Compensation and benefits managers","21","-","7","-","14","-",21,"–","442614","    0.00","    1.91","    4.56","    1.85","    8.71","    3.68","   0.32","2011","442614"
"52","Compensation, benefits, and job analysis specialists","53","893","13","-","39","-",65,"44.4","13-1141","    0.06","    8.64","   17.55","    7.67","   23.79","    6.63","   0.65","2011","13-114"
"53","Compliance officers","176","1125","98","1279","78","995",198,"45.9","13-1041","    1.98","   21.98","   38.21","   20.00","   75.04","   31.09","   9.90","2011","13-104"
"54","Computer and information research scientists","19","-","17","-","2","-",20,"–","15-1111","    0.10","    0.30","    0.78","    0.54","    8.50","    6.02","   3.80","2011","15-111"
"55","Computer and information systems managers","530","1579","392","1595","138","1543",553,"43.1","409743","    1.66","   21.01","   83.50","   44.79","  251.62","  138.25","  12.17","2011","409743"
"56","Computer hardware engineers","76","1528","66","1546","10","-",77,"41.7","17-2061","    0.00","    3.85","   10.09","    7.47","   34.42","   18.56","   2.62","2011","17-206"
