"","employment","total_number","total_median","men_number","men_median","women_number","women_median","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"168","Meeting, convention, and event planners","87","889","16","-","71","892",109,"37.4","13-1121","    1.85","   12.10","   22.45","    7.19","   53.52","   10.90","   1.09","2011","13-112"
"169","Meter readers, utilities","21","-","18","-","3","-",28,"–","43-5041","    1.23","   12.04","    9.41","    2.58","    2.27","    0.45","   0.03","2011","43-504"
"170","Morticians, undertakers, and funeral directors","16","-","12","-","3","-",23,"–","39-4031","    0.34","    1.89","    4.69","    7.70","    6.42","    0.94","   0.99","2011","39-403"
"171","Motion picture projectionists","3","-","3","-","0","-",8,"–","39-3021","    0.32","    2.00","    1.99","    1.76","    1.70","    0.22","   0.00","2011","39-302"
"172","Motor vehicle operators, all other","28","-","26","-","1","-",62,"51.8","53-3099","   10.29","   24.80","   15.69","    3.29","    5.77","    1.67","   0.43","2011","53-309"
"173","Natural sciences managers","12","-","5","-","7","-",16,"–","2637722","    0.06","    0.35","    0.72","    0.54","    5.34","    4.00","   4.99","2011","263772"
"174","New accounts clerks","27","-","8","-","19","-",33,"–","43-4141","    0.56","   10.53","   11.22","    3.20","    6.37","    1.02","   0.07","2011","43-414"
"175","Nonfarm animal caretakers","82","419","22","-","60","417",179,"37.200000000000003","39-2021","   17.54","   66.23","   50.12","   14.32","   25.96","    3.04","   1.79","2011","39-202"
"176","Nurse anesthetists","26","-","16","-","10","-",33,"–","29-1151","    0.10","    0.16","    1.49","    1.35","    4.92","   21.19","   3.80","2011","29-115"
"177","Occupational therapists","72","1189","10","-","62","1193",112,"41.7","29-1122","    0.00","    0.45","    0.78","    9.52","   54.99","   40.54","   5.71","2011","29-112"
"178","Office clerks, general","794","604","121","712","673","594",1061,"42.2","43-9061","   37.13","  331.03","  356.50","  128.38","  167.64","   32.89","   7.43","2011","43-906"
"179","Office machine operators, except computer","31","-","11","-","20","-",45,"–","43-9071","    3.20","   17.19","   13.59","    4.86","    5.22","    0.86","   0.04","2011","43-907"
"180","Operations research analysts","116","1273","66","1258","51","1326",116,"41.3","15-2031","    0.23","    6.50","   17.98","    9.51","   45.47","   30.86","   5.34","2011","15-203"
"181","Opticians, dispensing","34","-","8","-","26","-",51,"45.9","29-2081","    1.48","   13.87","   17.03","    9.84","    7.09","    0.92","   0.76","2011","29-208"
"182","Optometrists","9","-","6","-","3","-",28,"–","29-1041","    0.00","    0.03","    0.03","    0.14","    0.56","    0.36","  26.91","2011","29-104"
"183","Packaging and filling machine operators and tenders","259","455","120","505","139","421",288,"39.1","51-9111","   99.36","  124.42","   42.05","   10.08","   10.08","    1.73","   0.29","2011","51-911"
"184","Paralegals and legal assistants","338","824","52","884","286","813",404,"42.8","23-2011","    4.44","   45.25","  101.81","   80.80","  138.17","   19.80","  13.33","2011","23-201"
"185","Parking lot attendants","46","-","40","-","5","-",73,"32.6","53-6021","   13.14","   25.70","   19.78","    5.18","    6.86","    1.61","   0.73","2011","53-602"
"186","Paving, surfacing, and tamping equipment operators","19","-","18","-","0","-",21,"–","47-2071","    8.25","    9.05","    2.96","    0.44","    0.29","    0.00","   0.00","2011","47-207"
"187","Payroll and timekeeping clerks","136","710","11","-","125","704",168,"46.1","43-3051","    2.35","   46.87","   64.68","   22.18","   28.73","    2.86","   0.34","2011","43-305"
"188","Personal care aides","549","412","94","454","455","407",1057,"43.9","39-9021","  199.77","  366.78","  282.22","   83.50","  100.42","   17.97","   5.29","2011","39-902"
"189","Personal care and service workers, all other","34","-","23","-","11","-",105,"33.200000000000003","39-9099","   11.34","   32.23","   30.66","    8.19","   18.48","    3.04","   0.94","2011","39-909"
"190","Pest control workers","58","575","57","572","1","-",75,"41.3","37-2021","    6.90","   30.53","   23.78","    6.60","    5.92","    1.05","   0.22","2011","37-202"
"191","Pharmacists","195","1917","85","1998","110","1898",274,"41.1","29-1051","    0.27","    0.55","    2.47","    1.92","  114.26","   15.34"," 139.19","2011","29-105"
"192","Photographers","45","-","29","-","16","-",148,"40.6","27-4021","    2.66","   19.68","   39.37","   15.84","   60.53","    8.58","   1.18","2011","27-402"
"193","Photographic process workers and processing machine operators","24","-","10","-","13","-",43,"–","51-9151","    3.10","   12.21","   12.94","    3.96","    8.94","    1.33","   0.52","2011","51-915"
"194","Physical scientists, all other","133","1383","82","1483","51","1167",152,"40.4","19-2099","    0.15","    0.00","    0.30","    1.37","   36.78","   34.66","  78.74","2011","19-209"
"195","Physician assistants","69","1220","24","-","44","-",82,"37.6","29-1071","    0.82","    2.62","    7.95","    9.68","   22.22","   27.39","  11.32","2011","29-107"
"196","Plasterers and stucco masons","13","-","13","-","0","-",24,"–","47-2161","   12.00","    7.99","    2.59","    0.84","    0.50","    0.00","   0.05","2011","47-216"
"197","Podiatrists","1","-","0","-","1","-",6,"–","29-1081","    0.00","    0.00","    0.00","    0.00","    0.04","    0.12","   5.84","2011","29-108"
"198","Postal service clerks","129","978","66","1014","63","892",146,"53.1","43-5051","    3.50","   48.76","   55.19","   14.16","   21.61","    2.63","   0.29","2011","43-505"
"199","Prepress technicians and workers","30","-","14","-","16","-",41,"–","51-5111","    2.99","   13.41","   12.63","    3.90","    7.42","    0.57","   0.12","2011","51-511"
"200","Pressers, textile, garment, and related materials","37","-","13","-","24","-",48,"–","51-6021","   22.85","   17.76","    5.28","    1.15","    0.67","    0.24","   0.00","2011","51-602"
"201","Private detectives and investigators","86","869","56","891","30","-",92,"41.3","33-9021","    0.74","   10.03","   24.47","   10.95","   34.13","    9.20","   2.39","2011","33-902"
"202","Procurement clerks","24","-","9","-","16","-",26,"–","43-3061","    0.47","    5.98","    9.20","    2.76","    5.85","    1.64","   0.10","2011","43-306"
"203","Production, planning, and expediting clerks","226","812","110","916","116","722",236,"44.1","43-5061","    6.14","   61.60","   70.80","   28.79","   55.46","   12.27","   1.18","2011","43-506"
"204","Proofreaders and copy markers","7","-","1","-","6","-",7,"–","43-9081","    0.04","    1.08","    1.30","    0.62","    2.86","    0.94","   0.17","2011","43-908"
"205","Property, real estate, and community association managers","317","921","135","1201","182","728",587,"49.5","2645027","   25.83","  118.57","  162.01","   53.42","  168.47","   45.79","  12.91","2011","264502"
"206","Public relations and fundraising managers","62","1475","33","-","29","-",63,"42.1","48153","    0.06","    2.14","    6.68","    2.02","   34.15","   15.44","   2.52","2011","48153"
"207","Public relations specialists","123","954","49","-","75","887",158,"39.200000000000003","27-3031","    0.79","    7.27","   17.22","    6.64","   87.06","   31.76","   7.43","2011","27-303"
"208","Purchasing managers","183","1242","94","1368","89","1026",204,"48.7","424353","    2.24","   24.68","   43.66","   17.34","   77.11","   34.48","   4.49","2011","424353"
"209","Rail-track laying and maintenance equipment operators","8","-","8","-","0","-",7,"–","47-4061","    0.76","    3.70","    1.33","    0.76","    0.44","    0.00","   0.00","2011","47-406"
"210","Railroad conductors and yardmasters","48","-","45","-","3","-",52,"43.7","53-4031","    1.14","   20.90","   17.94","    5.93","    5.67","    0.36","   0.00","2011","53-403"
"211","Receptionists and information clerks","868","520","78","521","790","520",1259,"38.299999999999997","43-4171","   49.10","  453.24","  430.58","  138.49","  158.63","   25.18","   5.04","2011","43-417"
"212","Refuse and recyclable material collectors","58","541","56","580","3","-",92,"41.3","53-7081","   29.72","   41.58","   13.25","    3.96","    2.85","    0.37","   0.18","2011","53-708"
"213","Registered nurses","2145","1039","208","1081","1937","1034",2706,"44.7","29-1141","    5.41","   27.06","  140.71"," 1030.99"," 1244.76","  208.36","  48.71","2011","29-114"
"214","Religious workers, all other","50","654","24","-","26","-",85,"51.5","21-2099","    2.81","    9.86","   16.83","    5.27","   27.20","   16.66","   6.38","2011","21-209"
"215","Reservation and transportation ticket agents and travel clerks","80","649","33","-","47","-",99,"42.6","43-4181","    2.67","   24.65","   34.25","   10.20","   23.56","    3.17","   0.59","2011","43-418"
"216","Residential advisors","42","-","15","-","27","-",59,"38.6","39-9041","    3.13","   14.28","   18.94","    6.20","   11.03","    5.01","   0.35","2011","39-904"
"217","Retail salespersons","1789","545","1056","620","733","466",3224,"35.9","41-2031","  212.78","  970.42","  925.29","  286.94","  689.94","  119.29","  19.34","2011","41-203"
"218","Roofers","143","523","141","520","3","-",222,"34.200000000000003","47-2181","  101.68","   81.92","   26.42","    4.88","    5.99","    0.89","   0.22","2011","47-218"
"219","Sales engineers","30","-","27","-","3","-",30,"–","41-9031","    0.06","    1.05","    4.68","    3.66","   15.99","    4.32","   0.27","2011","41-903"
"220","Sales representatives, services, all other","397","887","278","953","119","757",503,"40.700000000000003","41-3099","   11.57","   82.49","  132.79","   43.26","  194.66","   33.70","   4.53","2011","41-309"
"221","Sawing machine setters, operators, and tenders, wood","31","-","30","-","1","-",32,"–","51-7041","   12.19","   14.14","    3.65","    1.02","    0.58","    0.35","   0.03","2011","51-704"
"222","Securities, commodities, and financial services sales agents","222","1144","149","1269","73","884",267,"41.7","41-3031","    2.67","   20.03","   41.65","   16.02","  136.70","   42.99","   7.21","2011","41-303"
"223","Sewing machine operators","112","403","28","-","84","398",169,"48","51-6031","   72.67","   63.71","   20.11","    5.24","    5.92","    1.01","   0.17","2011","51-603"
"224","Sheet metal workers","107","805","104","805","3","-",126,"40","47-2211","   20.79","   59.60","   32.38","    8.95","    4.03","    0.25","   0.00","2011","47-221"
"225","Shipping, receiving, and traffic clerks","481","562","340","571","141","543",559,"40","43-5071","   80.50","  250.43","  148.69","   36.89","   37.45","    3.35","   1.12","2011","43-507"
"226","Social and community service managers","277","1045","81","1221","196","973",329,"48.2","2648679","    4.94","   26.32","   49.68","   20.73","  118.77","   91.13","  17.11","2011","264867"
"227","Stationary engineers and boiler operators","93","855","92","851","1","-",95,"51.5","51-8021","    6.65","   36.77","   29.36","   10.93","    8.46","    2.38","   0.48","2011","51-802"
"228","Statistical assistants","12","-","4","-","8","-",18,"–","43-9111","    0.27","    3.53","    6.21","    2.11","    4.64","    1.08","   0.18","2011","43-911"
"229","Stock clerks and order fillers","992","492","655","488","337","501",1503,"34.200000000000003","43-5081","  226.95","  649.30","  387.77","   99.20","  121.74","   15.03","   3.01","2011","43-508"
"230","Structural iron and steel workers","66","870","66","870","0","-",66,"38.5","47-2221","   12.21","   31.22","   16.57","    3.50","    2.24","    0.13","   0.07","2011","47-222"
"231","Structural metal fabricators and fitters","33","-","31","-","1","-",32,"–","51-2041","    3.90","   15.94","    8.77","    1.95","    1.31","    0.13","   0.00","2011","51-204"
"232","Surveying and mapping technicians","53","777","47","-","6","-",62,"43.1","17-3031","    2.67","   16.62","   22.82","   13.02","    5.95","    0.74","   0.19","2011","17-303"
"233","Switchboard operators, including answering service","29","-","4","-","25","-",39,"–","43-2011","    1.95","   16.18","   13.38","    2.69","    3.94","    0.66","   0.16","2011","43-201"
"234","Tax examiners and collectors, and revenue agents","67","920","27","-","40","-",70,"47.3","13-2081","    0.98","   11.41","   16.73","    6.93","   26.53","    6.58","   0.98","2011","13-208"
"235","Taxi drivers and chauffeurs","207","553","178","576","29","-",342,"48.8","53-3041","   50.96","  127.22","   83.11","   22.57","   45.14","    9.92","   3.08","2011","53-304"
"236","Teacher assistants","605","480","39","-","566","471",950,"44.9","25-9041","   24.70","  279.30","  285.95","  131.10","  184.30","   38.95","   5.70","2011","25-904"
"237","Telemarketers","69","412","29","-","40","-",108,"30.5","41-9041","    7.34","   33.59","   37.15","   10.37","   15.88","    2.92","   0.76","2011","41-904"
"238","Telephone operators","38","-","7","-","30","-",40,"–","43-2021","    1.80","   13.96","   15.12","    4.08","    4.48","    0.44","   0.20","2011","43-202"
"239","Tellers","283","492","41","-","241","500",413,"31.8","43-3071","    7.02","  155.70","  133.81","   44.60","   65.67","    5.78","   0.83","2011","43-307"
"240","Tool and die makers","61","920","59","930","2","-",66,"51","51-4111","    3.96","   27.92","   22.97","    8.71","    2.24","    0.20","   0.00","2011","51-411"
"241","Total, all occupations","100457","756","55971","832","44486","684",139869,"42.1","00-0000","12728.08","35246.99","30771.18","12588.21","30211.70","12588.21","5734.63","2011","00-000"
"242","Training and development managers","36","-","24","-","12","-",38,"–","449919","    0.30","    2.66","    6.57","    3.19","   14.25","    9.69","   1.33","2011","449919"
"243","Training and development specialists","117","1059","53","1260","64","951",130,"45","13-1151","    1.56","   16.77","   32.50","   11.18","   42.64","   21.97","   3.25","2011","13-115"
"244","Transportation attendants, except flight attendants","13","-","5","-","8","-",32,"–","53-6061","    4.58","   13.22","    8.70","    1.28","    3.30","    0.80","   0.10","2011","53-606"
"245","Transportation inspectors","32","-","28","-","5","-",32,"–","53-6051","    2.18","   11.07","   10.11","    3.17","    4.74","    0.70","   0.06","2011","53-605"
"246","Transportation, storage, and distribution managers","229","882","196","861","33","-",254,"43.8","428005","   12.19","   73.91","   73.41","   21.34","   57.15","   13.97","   2.29","2011","428005"
"247","Travel agents","49","-","11","-","38","-",69,"51.1","41-3041","    1.31","   13.18","   21.25","    8.97","   19.60","    4.14","   0.48","2011","41-304"
"248","Urban and regional planners","19","-","10","-","9","-",26,"–","19-3051","    0.00","    0.08","    1.07","    0.55","   10.37","   12.69","   1.22","2011","19-305"
"249","Ushers, lobby attendants, and ticket takers","9","-","3","-","6","-",46,"–","39-3031","    4.69","   15.18","   12.01","    3.63","    8.33","    1.98","   0.23","2011","39-303"
"250","Veterinarians","40","-","12","-","28","-",71,"42.6","29-1131","    0.36","    0.57","    0.00","    0.21","    1.14","    1.35","  67.45","2011","29-113"
"251","Waiters and waitresses","872","407","313","466","559","389",2059,"26.1","35-3031","  298.56","  687.71","  601.23","  160.60","  267.67","   35.00","   6.18","2011","35-303"
"252","Water and wastewater treatment plant and system operators","75","780","70","788","5","-",71,"48.4","51-8031","    3.20","   27.62","   25.21","    8.31","    5.75","    0.78","   0.14","2011","51-803"
"253","Weighers, measurers, checkers, and samplers, recordkeeping","60","596","32","-","28","-",70,"44.9","43-5111","    9.10","   27.09","   20.23","    4.97","    7.14","    0.91","   0.56","2011","43-511"
"254","Accountants and auditors","1109","1516","1268","571","1029","945",1789.5,"43.2","13-2011","    3.58","   75.16","  143.16","  162.84","  989.59","  366.85","  48.32","2013","13-201"
"255","Actors","-","18","-","8","-","10",41.5,"–","27-2011","    1.04","    4.77","    7.80","    1.49","   20.04","    5.73","   0.62","2013","27-201"
"256","Actuaries","-","25","-","17","-","9",27,"–","15-2011","    0.00","    0.00","    0.40","    0.00","   16.55","    6.45","   3.59","2013","15-201"
"257","Adhesive bonding machine operators and tenders","-","11","-","5","-","5",10.5,"–","51-9191","    2.08","    6.27","    1.69","    0.27","    0.19","    0.00","   0.00","2013","51-919"
"258","Administrative services managers","1198","109","1232","71","-","38",128.5,"49.4","406090","    2.83","   21.46","   37.52","   16.45","   35.59","   13.11","   1.54","2013","406090"
"259","Advertising and promotions managers","1526","53","-","18","-","35",64,"40.299999999999997","40848","    0.83","    2.88","    6.40","    3.46","   41.41","    8.13","   0.90","2013","40848"
"260","Advertising sales agents","938","207","1005","110","868","96",234,"39.299999999999997","41-3011","    3.28","   26.68","   52.42","   18.02","  114.66","   17.08","   1.64","2013","41-301"
"261","Aerospace engineers","1865","137","1873","124","-","13",131.5,"45.1","17-2011","    0.13","    3.02","    8.55","    6.84","   63.25","   43.00","   6.71","2013","17-201"
"262","Agents and business managers of artists, performers, and athletes","-","38","-","20","-","18",53,"37","13-1011","    0.48","    4.93","   11.02","    4.77","   24.49","    4.98","   2.33","2013","13-101"
"263","Agricultural and food science technicians","-","23","-","12","-","12",30,"–","19-4011","    2.58","    8.70","    7.74","    3.15","    6.63","    0.99","   0.21","2013","19-401"
"264","Agricultural inspectors","-","11","-","8","-","3",14,"–","45-2011","    0.95","    3.71","    3.00","    1.02","    4.23","    0.69","   0.41","2013","45-201"
"265","Aircraft mechanics and service technicians","978","155","974","152","-","3",157.5,"47.5","49-3011","    4.25","   42.84","   62.37","   32.13","   13.70","    1.89","   0.32","2013","49-301"
"266","Aircraft structure, surfaces, rigging, and systems assemblers","-","16","-","13","-","3",18.5,"–","51-2011","    2.18","    7.03","    7.40","    1.15","    0.61","    0.13","   0.00","2013","51-201"
"267","Ambulance drivers and attendants, except emergency medical technicians","-","12","-","9","-","3",18.5,"–","53-3011","    1.65","    7.70","    5.42","    1.65","    1.74","    0.35","   0.00","2013","53-301"
"268","Animal control workers","-","10","-","6","-","4",11,"–","33-9011","    0.63","    4.15","    3.02","    1.43","    1.56","    0.20","   0.00","2013","33-901"
"269","Animal trainers","-","8","-","3","-","5",40,"–","39-2011","    2.44","   11.20","   10.92","    3.24","   10.40","    1.32","   0.44","2013","39-201"
"270","Appraisers and assessors of real estate","1142","60","-","33","-","27",95.5,"49.9","13-2021","    0.86","   11.17","   24.26","    8.88","   39.82","    7.74","   2.77","2013","13-202"
"271","Architectural and engineering managers","1894","117","1898","104","-","13",120.5,"49.7","2608503","    0.36","    4.70","    8.31","    5.18","   55.43","   40.25","   6.27","2013","260850"
"272","Atmospheric and space scientists","-","11","-","9","-","2",14.5,"–","19-2021","    0.00","    0.00","    1.48","    1.33","    6.48","    3.58","   1.61","2013","19-202"
"273","Audiologists","-","10","-","3","-","7",15,"–","29-1181","    0.00","    0.40","    0.48","    0.42","    1.23","    4.92","   7.54","2013","29-118"
"274","Automotive and watercraft service attendants","398","78","403","67","-","12",93,"27.3","53-6031","   16.65","   39.80","   21.67","    6.32","    7.81","    0.74","   0.00","2013","53-603"
"275","Automotive body and related repairers","687","124","688","123","-","1",154,"43.2","49-3021","   32.34","   77.77","   29.26","   10.93","    3.23","    0.31","   0.31","2013","49-302"
"276","Avionics technicians","-","10","-","6","-","4",12,"–","49-2091","    0.23","    2.36","    5.32","    3.14","    0.90","    0.06","   0.00","2013","49-209"
"277","Bakers","505","117","488","56","524","61",203,"39.1","51-3011","   50.95","   74.50","   40.80","   15.63","   17.46","    2.84","   0.81","2013","51-301"
"278","Barbers","389","60","369","51","-","9",118,"41.2","39-5011","   15.10","   57.47","   31.62","    8.50","    4.96","    0.35","   0.12","2013","39-501"
"279","Bartenders","513","207","594","98","483","109",414.5,"31.3","35-3011","   31.09","  115.23","  147.56","   41.45","   70.05","    7.88","   1.66","2013","35-301"
"280","Bill and account collectors","599","156","-","45","586","111",191.5,"39.4","43-3011","    7.09","   54.19","   73.15","   22.98","   28.53","    4.98","   0.57","2013","43-301"
"281","Billing and posting clerks","637","422","-","42","629","380",486,"44","43-3021","   15.07","  144.83","  174.96","   66.10","   70.47","   12.15","   2.43","2013","43-302"
"282","Biological technicians","-","16","-","9","-","8",20,"–","19-4021","    0.28","    3.42","    4.20","    1.88","    7.26","    1.48","   1.48","2013","19-402"
"283","Boilermakers","-","14","-","14","-","0",20.5,"–","47-2011","    1.97","   10.00","    6.33","    1.54","    0.51","    0.08","   0.06","2013","47-201"
"284","Bookkeeping, accounting, and auditing clerks","677","804","751","102","670","702",1254.5,"50","43-3031","   35.13","  358.79","  482.98","  129.21","  204.48","   38.89","   5.02","2013","43-303"
"285","Brokerage clerks","-","2","-","1","-","1",3.5,"–","43-4011","    0.06","    0.82","    0.70","    0.59","    1.26","    0.04","   0.04","2013","43-401"
"286","Budget analysts","1389","58","-","31","-","26",58.5,"43.8","13-2031","    0.23","    2.34","    8.89","    3.98","   27.14","   15.27","   0.64","2013","13-203"
"287","Bus and truck mechanics and diesel engine specialists","794","302","795","301","-","0",316,"41.7","49-3031","   44.87","  149.15","   77.74","   32.23","   10.43","    1.58","   0.00","2013","49-303"
"288","Business operations specialists, all other","1044","180","1226","69","899","110",223,"43.7","13-1199","    3.79","   22.52","   40.36","   21.85","   86.97","   38.58","   8.92","2013","13-119"
"289","Buyers and purchasing agents, farm products","-","17","-","11","-","5",13.5,"–","13-1021","    1.81","    3.87","    2.73","    0.74","    3.40","    0.85","   0.08","2013","13-102"
"290","Cabinetmakers and bench carpenters","-","28","-","27","-","0",46,"–","51-7011","    8.42","   22.59","    9.06","    2.76","    2.71","    0.37","   0.09","2013","51-701"
"291","Cargo and freight agents","-","26","-","17","-","9",26.5,"–","43-5011","    1.19","    6.55","    8.61","    3.58","    5.80","    0.74","   0.00","2013","43-501"
"292","Carpenters","657","712","659","703","-","10",1193.5,"42.2","47-2031","  293.60","  514.40","  247.05","   62.06","   65.64","    9.55","   1.19","2013","47-203"
"293","Chefs and head cooks","574","351","589","282","510","69",414,"38.5","35-1011","   72.86","  120.89","   93.15","   69.97","   50.92","    4.97","   1.66","2013","35-101"
"294","Chemical engineers","1568","56","-","48","-","8",66,"44.7","17-2041","    0.13","    2.51","    3.30","    2.71","   38.81","   13.66","   4.88","2013","17-204"
"295","Chemical technicians","849","62","-","41","-","21",65.5,"45.3","19-4031","    2.55","   14.87","   15.52","    7.93","   18.01","    4.45","   2.16","2013","19-403"
"296","Childcare workers","418","441","-","31","418","410",1272,"37.700000000000003","39-9011","  169.18","  409.58","  338.35","  128.47","  180.62","   39.43","   6.36","2013","39-901"
"297","Chiropractors","-","13","-","12","-","1",58,"44.4","29-1011","    0.35","    0.52","    1.04","    0.17","    2.73","    1.39","  51.79","2013","29-101"
"298","Civil engineers","1373","324","1417","288","-","36",359,"43.6","17-2051","    0.36","    8.26","   22.26","   16.87","  204.27","   92.26","  14.36","2013","17-205"
"299","Cleaners of vehicles and equipment","429","235","434","206","-","28",331.5,"31.1","53-7061","  117.02","  140.22","   49.39","   12.27","   10.94","    0.99","   0.33","2013","53-706"
"300","Clergy","935","343","968","296","-","47",409,"51.8","21-2011","    9.00","   27.81","   46.63","   18.81","   97.75","  142.74","  66.26","2013","21-201"
"301","Coin, vending, and amusement machine servicers and repairers","-","32","-","28","-","4",36.5,"–","49-9091","    3.65","   14.64","   10.55","    4.60","    2.45","    0.55","   0.04","2013","49-909"
"302","Combined food preparation and serving workers, including fast food","384","175","413","68","370","107",360,"27.6","35-3021","   76.32","  158.04","   82.80","   20.88","   18.00","    2.88","   1.08","2013","35-302"
"303","Communications equipment operators, all other","-","2","-","0","-","2",6,"–","43-2099","    0.15","    1.34","    2.23","    0.37","    1.20","    0.63","   0.09","2013","43-209"
"304","Compensation and benefits managers","-","11","-","3","-","8",13.5,"–","442614","    0.00","    0.66","    2.66","    1.03","    6.06","    2.56","   0.51","2013","442614"
"305","Compensation, benefits, and job analysis specialists","1033","72","-","14","1010","59",77,"43.6","13-1141","    0.69","    8.62","   17.32","    8.09","   31.57","    9.39","   1.16","2013","13-114"
"306","Compliance officers","1124","182","1170","83","1081","99",197,"48","13-1041","    2.17","   19.31","   36.25","   19.50","   77.62","   31.32","  10.64","2013","13-104"
"307","Computer and information research scientists","-","15","-","12","-","3",23.5,"–","15-1111","    0.00","    0.26","    1.10","    0.49","    9.00","    6.58","   6.09","2013","15-111"
"308","Computer and information systems managers","1728","570","1769","407","1549","163",603.5,"44.3","409743","    2.41","   24.74","   89.32","   47.07","  281.23","  145.44","  13.28","2013","409743"
"309","Computer hardware engineers","1507","92","1544","82","-","10",90.5,"41.7","17-2061","    0.00","    4.80","    9.32","    8.33","   38.91","   23.08","   6.06","2013","17-206"
"310","Computer occupations, all other","1149","359","1136","277","1176","81",375.5,"41.5","15-1199","    2.63","   30.42","   84.11","   54.45","  145.69","   54.07","   4.51","2013","15-119"
"311","Computer operators","732","80","-","41","-","39",98.5,"47.2","43-9011","    3.05","   21.18","   28.47","   14.68","   24.62","    5.71","   0.59","2013","43-901"
"312","Computer programmers","1372","437","1428","332","1162","106",484.5,"42.8","15-1131","    3.39","   22.77","   63.47","   47.00","  240.80","   94.96","  12.11","2013","15-113"
"313","Computer systems analysts","1367","443","1455","285","1216","158",516.5,"41.6","15-1121","    2.58","   21.18","   74.89","   42.35","  248.44","  114.15","  12.91","2013","15-112"
"314","Computer, automated teller, and office machine repairers","875","240","894","211","-","29",290.5,"42","49-2011","    7.55","   52.00","   94.99","   59.26","   63.04","   11.62","   2.03","2013","49-201"
"315","Construction and building inspectors","903","73","920","67","-","5",109.5,"53.3","47-4011","    3.72","   28.47","   35.26","   13.47","   23.00","    5.15","   0.44","2013","47-401"
"316","Construction laborers","594","1087","592","1058","-","29",1461.5,"38.799999999999997","47-2061","  458.91","  599.22","  251.38","   65.77","   73.08","   10.23","   4.38","2013","47-206"
"317","Construction managers","1275","414","1328","376","-","38",902,"46.9","2601198","   62.24","  237.23","  219.19","   76.67","  251.66","   47.81","   7.22","2013","260119"
"318","Cost estimators","1050","102","1071","89","-","13",118.5,"46.7","13-1051","    4.38","   27.25","   34.72","   13.63","   33.18","    4.62","   0.59","2013","13-105"
"319","Counter and rental clerks","612","58","-","35","-","24",120,"44.1","41-2021","   15.36","   45.24","   30.96","    8.76","   17.64","    1.68","   0.36","2013","41-202"
"320","Couriers and messengers","624","127","616","112","-","16",205.5,"46.1","43-5021","   15.41","   75.62","   66.17","   20.55","   23.63","    3.29","   0.62","2013","43-502"
"321","Court, municipal, and license clerks","676","74","-","21","665","53",83,"48.4","43-4031","    0.83","   23.57","   28.22","   11.21","   16.02","    1.83","   1.33","2013","43-403"
"322","Crane and tower operators","846","70","871","69","-","1",67,"45.1","53-7021","   11.46","   36.11","   14.00","    3.82","    1.47","    0.07","   0.00","2013","53-702"
"323","Credit analysts","-","31","-","12","-","19",30,"–","13-2041","    0.30","    2.97","    6.48","    2.10","   13.23","    4.59","   0.33","2013","13-204"
"324","Credit authorizers, checkers, and clerks","-","40","-","10","-","30",41.5,"–","43-4041","    0.50","   11.37","   13.53","    3.94","    9.75","    2.12","   0.33","2013","43-404"
"325","Crossing guards","-","14","-","7","-","7",61,"50.2","33-9091","   11.77","   25.74","   14.58","    3.78","    3.97","    0.92","   0.24","2013","33-909"
"326","Customer service representatives","621","1615","639","547","616","1068",2012.5,"36.700000000000003","43-4051","   80.50","  543.38","  654.06","  225.40","  426.65","   68.42","  10.06","2013","43-405"
"327","Data entry keyers","634","235","-","46","632","189",322,"41.9","43-9021","    9.02","   96.28","  107.87","   41.22","   56.35","    9.66","   1.29","2013","43-902"
"328","Database administrators","1345","95","1563","65","-","30",99.5,"42","15-1141","    1.00","    5.27","   13.73","    8.76","   47.06","   21.39","   2.39","2013","15-114"
"329","Dental assistants","571","181","-","7","571","174",276.5,"36.799999999999997","31-9091","    7.47","   82.67","  111.98","   49.22","   19.36","    1.38","   4.42","2013","31-909"
"330","Dental hygienists","1005","82","-","2","1011","80",173.5,"43.9","29-2021","    1.04","    5.38","   13.88","   91.61","   55.35","    3.47","   2.95","2013","29-202"
"331","Detectives and criminal investigators","1054","159","1120","128","-","30",159,"43.5","33-3021","    0.64","   11.45","   36.41","   19.56","   66.46","   20.83","   3.66","2013","33-302"
"332","Dietitians and nutritionists","885","82","-","10","864","71",113,"45.5","29-1031","    3.73","   14.24","    8.14","    4.97","   44.52","   29.83","   7.46","2013","29-103"
"333","Directors, religious activities and education","-","41","-","20","-","21",59,"45","21-2021","    1.30","    4.31","    8.91","    5.55","   22.12","   13.81","   3.01","2013","21-202"
"334","Dishwashers","356","127","359","106","-","21",286,"29","35-9021","  125.27","  111.54","   31.75","    8.01","    8.58","    1.14","   0.00","2013","35-902"
"335","Door-to-door sales workers, news and street vendors, and related workers","-","34","-","23","-","11",194.5,"46.7","41-9091","   31.12","   61.66","   48.62","   16.53","   28.98","    6.03","   1.75","2013","41-909"
"336","Earth drillers, except oil and gas","-","26","-","26","-","0",34,"–","47-5021","    5.88","   18.50","    6.77","    0.99","    1.70","    0.17","   0.00","2013","47-502"
"337","Economists","-","29","-","15","-","14",30,"–","19-3011","    0.24","    0.00","    0.18","    0.06","    7.68","   11.16","  10.71","2013","19-301"
"338","Editors","1092","112","1239","53","988","59",154.5,"40","27-3041","    0.77","    4.79","   14.06","    6.64","   91.16","   29.82","   7.26","2013","27-304"
