"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"1231","Sewing machine operators","121","29","91",162,"48","51-6031","2013","51-603","high.school",58.81,"hs-"
"1232","Sheet metal workers","100","93","7",118,"43.2","47-2211","2013","47-221","high.school",54.87,"hs-"
"1233","Shipping, receiving, and traffic clerks","493","342","151",545,"41.1","43-5071","2013","43-507","high.school",249.61,"hs-"
"1234","Social and community service managers","280","94","185",323.5,"47.5","2648679","2013","264867","high.school",26.2,"hs-"
"1235","Stationary engineers and boiler operators","90","84","5",106,"48.6","51-8021","2013","51-802","high.school",41.87,"hs-"
"1236","Statistical assistants","18","8","10",28,"–","43-9111","2013","43-911","high.school",7.08,"hs-"
"1237","Stock clerks and order fillers","918","596","321",1480.5,"35.200000000000003","43-5081","2013","43-508","high.school",649.94,"hs-"
"1238","Structural iron and steel workers","38","38","0",57,"–","47-2221","2013","47-222","high.school",26.22,"hs-"
"1239","Structural metal fabricators and fitters","21","21","0",24,"–","51-2041","2013","51-204","high.school",11.74,"hs-"
"1240","Surveying and mapping technicians","48","43","5",65.5,"44.7","17-3031","2013","17-303","high.school",17.36,"hs-"
"1241","Switchboard operators, including answering service","22","6","16",33.5,"–","43-2011","2013","43-201","high.school",11.52,"hs-"
"1242","Tax examiners and collectors, and revenue agents","62","19","43",71,"45.6","13-2081","2013","13-208","high.school",13.06,"hs-"
"1243","Taxi drivers and chauffeurs","202","172","30",337,"49.2","53-3041","2013","53-304","high.school",125.36,"hs-"
"1244","Teacher assistants","571","70","501",908,"44.8","25-9041","2013","25-904","high.school",266.04,"hs-"
"1245","Telemarketers","49","18","32",95,"31.3","41-9041","2013","41-904","high.school",29.36,"hs-"
"1246","Telephone operators","20","3","17",35.5,"–","43-2021","2013","43-202","high.school",11.64,"hs-"
"1247","Tellers","265","36","229",374.5,"30.9","43-3071","2013","43-307","high.school",130.33,"hs-"
"1248","Tool and die makers","55","55","1",54.5,"51.1","51-4111","2013","51-411","high.school",20.66,"hs-"
"1249","Training and development managers","33","16","17",35,"–","449919","2013","449919","high.school",1.92,"hs-"
"1250","Training and development specialists","109","47","62",122.5,"42.5","13-1151","2013","13-115","high.school",15.68,"hs-"
"1251","Transportation attendants, except flight attendants","30","14","16",37.5,"–","53-6061","2013","53-606","high.school",15.75,"hs-"
"1252","Transportation inspectors","41","35","6",40.5,"–","53-6051","2013","53-605","high.school",12.35,"hs-"
"1253","Transportation, storage, and distribution managers","252","194","58",275.5,"45.8","428005","2013","428005","high.school",81.82,"hs-"
"1254","Travel agents","42","10","32",75,"53.2","41-3041","2013","41-304","high.school",12.3,"hs-"
"1255","Urban and regional planners","20","12","7",24,"–","19-3051","2013","19-305","high.school",0.34,"hs-"
"1256","Ushers, lobby attendants, and ticket takers","9","4","5",41,"–","39-3031","2013","39-303","high.school",14.72,"hs-"
"1257","Veterinarians","41","18","23",86,"46.8","29-1131","2013","29-113","high.school",0.17,"hs-"
"1258","Waiters and waitresses","883","325","558",2124,"26.2","35-3031","2013","35-303","high.school",694.55,"hs-"
"1259","Water and wastewater treatment plant and system operators","68","64","4",70,"49.8","51-8031","2013","51-803","high.school",27.37,"hs-"
"1260","Weighers, measurers, checkers, and samplers, recordkeeping","74","37","37",79,"46.5","43-5111","2013","43-511","high.school",31.52,"hs-"
"1261","Accountants and auditors","1464","618","846",1789.5,"43.2","13-2011","2015","13-201","high.school",76.95,"hs-"
"1262","Actors","12","8","4",41.5,"–","27-2011","2015","27-201","high.school",5.48,"hs-"
"1263","Actuaries","24","18","6",27,"–","15-2011","2015","15-201","high.school",0,"hs-"
"1264","Adhesive bonding machine operators and tenders","9","5","4",10.5,"–","51-9191","2015","51-919","high.school",5.81,"hs-"
"1265","Administrative services managers","170","96","73",128.5,"49.4","406090","2015","406090","high.school",24.54,"hs-"
"1266","Advertising and promotions managers","55","29","26",64,"40.299999999999997","40848","2015","40848","high.school",2.82,"hs-"
"1267","Advertising sales agents","161","78","83",234,"39.299999999999997","41-3011","2015","41-301","high.school",25.04,"hs-"
"1268","Aerospace engineers","140","122","18",131.5,"45.1","17-2011","2015","17-201","high.school",2.76,"hs-"
"1269","Agents and business managers of artists, performers, and athletes","27","13","14",53,"37","13-1011","2015","13-101","high.school",6.62,"hs-"
"1270","Agricultural and food science technicians","28","21","7",30,"–","19-4011","2015","19-401","high.school",6,"hs-"
"1271","Agricultural inspectors","12","7","6",14,"–","45-2011","2015","45-201","high.school",3,"hs-"
"1272","Aircraft mechanics and service technicians","133","125","7",157.5,"47.5","49-3011","2015","49-301","high.school",39.22,"hs-"
"1273","Aircraft structure, surfaces, rigging, and systems assemblers","15","11","4",18.5,"–","51-2011","2015","51-201","high.school",9.14,"hs-"
"1274","Ambulance drivers and attendants, except emergency medical technicians","18","14","4",18.5,"–","53-3011","2015","53-301","high.school",6.81,"hs-"
"1275","Animal control workers","4","2","2",11,"–","33-9011","2015","33-901","high.school",3.91,"hs-"
"1276","Animal trainers","26","19","8",40,"–","39-2011","2015","39-201","high.school",9.64,"hs-"
"1277","Appraisers and assessors of real estate","42","21","21",95.5,"49.9","13-2021","2015","13-202","high.school",10.12,"hs-"
"1278","Architectural and engineering managers","110","101","10",120.5,"49.7","2608503","2015","260850","high.school",4.34,"hs-"
"1279","Atmospheric and space scientists","8","8","1",14.5,"–","19-2021","2015","19-202","high.school",0.17,"hs-"
"1280","Audiologists","8","1","6",15,"–","29-1181","2015","29-118","high.school",0.24,"hs-"
"1281","Automotive and watercraft service attendants","63","58","5",93,"27.3","53-6031","2015","53-603","high.school",43.06,"hs-"
"1282","Automotive body and related repairers","120","118","2",154,"43.2","49-3021","2015","49-302","high.school",73,"hs-"
"1283","Avionics technicians","4","4","0",12,"–","49-2091","2015","49-209","high.school",2.53,"hs-"
"1284","Bakers","150","69","80",203,"39.1","51-3011","2015","51-301","high.school",77.75,"hs-"
"1285","Barbers","46","33","12",118,"41.2","39-5011","2015","39-501","high.school",55.93,"hs-"
"1286","Bartenders","252","110","142",414.5,"31.3","35-3011","2015","35-301","high.school",117.3,"hs-"
"1287","Bill and account collectors","152","54","98",191.5,"39.4","43-3011","2015","43-301","high.school",58.02,"hs-"
"1288","Billing and posting clerks","406","39","366",486,"44","43-3021","2015","43-302","high.school",142.88,"hs-"
"1289","Biological technicians","20","10","10",20,"–","19-4021","2015","19-402","high.school",3.52,"hs-"
"1290","Boilermakers","21","21","0",20.5,"–","47-2011","2015","47-201","high.school",10.02,"hs-"
"1291","Bookkeeping, accounting, and auditing clerks","769","87","682",1254.5,"50","43-3031","2015","43-303","high.school",350.01,"hs-"
"1292","Brokerage clerks","3","1","1",3.5,"–","43-4011","2015","43-401","high.school",0.74,"hs-"
"1293","Budget analysts","44","17","28",58.5,"43.8","13-2031","2015","13-203","high.school",3.98,"hs-"
"1294","Bus and truck mechanics and diesel engine specialists","327","327","0",316,"41.7","49-3031","2015","49-303","high.school",144.41,"hs-"
"1295","Business operations specialists, all other","186","74","112",223,"43.7","13-1199","2015","13-119","high.school",21.63,"hs-"
"1296","Buyers and purchasing agents, farm products","11","9","2",13.5,"–","13-1021","2015","13-102","high.school",4.05,"hs-"
"1297","Cabinetmakers and bench carpenters","40","38","2",46,"–","51-7011","2015","51-701","high.school",20.24,"hs-"
"1298","Cargo and freight agents","20","12","9",26.5,"–","43-5011","2015","43-501","high.school",7.92,"hs-"
"1299","Carpenters","802","792","10",1193.5,"42.2","47-2031","2015","47-203","high.school",503.66,"hs-"
"1300","Chefs and head cooks","340","285","55",414,"38.5","35-1011","2015","35-101","high.school",124.61,"hs-"
"1301","Chemical engineers","79","69","10",66,"44.7","17-2041","2015","17-204","high.school",1.85,"hs-"
"1302","Chemical technicians","75","43","32",65.5,"45.3","19-4031","2015","19-403","high.school",14.93,"hs-"
"1303","Childcare workers","407","14","393",1272,"37.700000000000003","39-9011","2015","39-901","high.school",395.59,"hs-"
"1304","Chiropractors","22","15","7",58,"44.4","29-1011","2015","29-101","high.school",0.52,"hs-"
"1305","Civil engineers","316","275","41",359,"43.6","17-2051","2015","17-205","high.school",11.49,"hs-"
"1306","Cleaners of vehicles and equipment","222","200","22",331.5,"31.1","53-7061","2015","53-706","high.school",139.23,"hs-"
"1307","Clergy","376","316","60",409,"51.8","21-2011","2015","21-201","high.school",24.95,"hs-"
"1308","Coin, vending, and amusement machine servicers and repairers","38","34","4",36.5,"–","49-9091","2015","49-909","high.school",14.89,"hs-"
"1309","Combined food preparation and serving workers, including fast food","173","67","107",360,"27.6","35-3021","2015","35-302","high.school",156.6,"hs-"
"1310","Communications equipment operators, all other","5","2","3",6,"–","43-2099","2015","43-209","high.school",1.04,"hs-"
"1311","Compensation and benefits managers","23","7","16",13.5,"–","442614","2015","442614","high.school",0.86,"hs-"
"1312","Compensation, benefits, and job analysis specialists","63","12","50",77,"43.6","13-1141","2015","13-114","high.school",9.86,"hs-"
"1313","Compliance officers","235","126","109",197,"48","13-1041","2015","13-104","high.school",16.15,"hs-"
"1314","Computer and information research scientists","28","23","5",23.5,"–","15-1111","2015","15-111","high.school",0.31,"hs-"
"1315","Computer and information systems managers","636","466","169",603.5,"44.3","409743","2015","409743","high.school",25.95,"hs-"
"1316","Computer hardware engineers","72","62","10",90.5,"41.7","17-2061","2015","17-206","high.school",3.53,"hs-"
"1317","Computer occupations, all other","490","374","116",375.5,"41.5","15-1199","2015","15-119","high.school",27.04,"hs-"
"1318","Computer operators","58","25","33",98.5,"47.2","43-9011","2015","43-901","high.school",21.47,"hs-"
"1319","Computer programmers","450","357","93",484.5,"42.8","15-1131","2015","15-113","high.school",20.35,"hs-"
"1320","Computer systems analysts","499","325","173",516.5,"41.6","15-1121","2015","15-112","high.school",23.76,"hs-"
"1321","Computer, automated teller, and office machine repairers","194","166","28",290.5,"42","49-2011","2015","49-201","high.school",52.87,"hs-"
"1322","Construction and building inspectors","67","58","9",109.5,"53.3","47-4011","2015","47-401","high.school",28.03,"hs-"
"1323","Construction laborers","1181","1155","25",1461.5,"38.799999999999997","47-2061","2015","47-206","high.school",594.83,"hs-"
"1324","Construction managers","471","429","42",902,"46.9","2601198","2015","260119","high.school",233.62,"hs-"
"1325","Cost estimators","95","83","12",118.5,"46.7","13-1051","2015","13-105","high.school",26.31,"hs-"
"1326","Counter and rental clerks","73","35","37",120,"44.1","41-2021","2015","41-202","high.school",48,"hs-"
"1327","Couriers and messengers","153","134","19",205.5,"46.1","43-5021","2015","43-502","high.school",75.01,"hs-"
"1328","Court, municipal, and license clerks","60","9","51",83,"48.4","43-4031","2015","43-403","high.school",22.74,"hs-"
"1329","Crane and tower operators","75","71","4",67,"45.1","53-7021","2015","53-702","high.school",32.9,"hs-"
"1330","Credit analysts","17","8","9",30,"–","13-2041","2015","13-204","high.school",3,"hs-"
"1331","Credit authorizers, checkers, and clerks","42","12","29",41.5,"–","43-4041","2015","43-404","high.school",11.45,"hs-"
"1332","Crossing guards","26","13","13",61,"50.2","33-9091","2015","33-909","high.school",27.82,"hs-"
"1333","Customer service representatives","1760","611","1149",2012.5,"36.700000000000003","43-4051","2015","43-405","high.school",527.27,"hs-"
"1334","Data entry keyers","223","55","169",322,"41.9","43-9021","2015","43-902","high.school",87.58,"hs-"
"1335","Database administrators","90","58","32",99.5,"42","15-1141","2015","15-114","high.school",5.87,"hs-"
"1336","Dental assistants","188","14","175",276.5,"36.799999999999997","31-9091","2015","31-909","high.school",69.95,"hs-"
"1337","Dental hygienists","86","6","80",173.5,"43.9","29-2021","2015","29-202","high.school",4.16,"hs-"
"1338","Detectives and criminal investigators","141","100","41",159,"43.5","33-3021","2015","33-302","high.school",9.86,"hs-"
"1339","Dietitians and nutritionists","79","9","69",113,"45.5","29-1031","2015","29-103","high.school",13.56,"hs-"
"1340","Directors, religious activities and education","62","31","31",59,"45","21-2021","2015","21-202","high.school",6.08,"hs-"
"1341","Dishwashers","117","98","19",286,"29","35-9021","2015","35-902","high.school",109.25,"hs-"
"1342","Door-to-door sales workers, news and street vendors, and related workers","28","9","18",194.5,"46.7","41-9091","2015","41-909","high.school",59.91,"hs-"
"1343","Earth drillers, except oil and gas","30","30","0",34,"–","47-5021","2015","47-502","high.school",17.54,"hs-"
"1344","Economists","29","17","12",30,"–","19-3011","2015","19-301","high.school",0,"hs-"
"1345","Editors","108","58","50",154.5,"40","27-3041","2015","27-304","high.school",4.79,"hs-"
"1346","Electrical power-line installers and repairers","113","112","0",113.5,"38.9","49-9051","2015","49-905","high.school",46.19,"hs-"
"1347","Electricians","651","632","19",711,"42.8","47-2111","2015","47-211","high.school",268.05,"hs-"
"1348","Elevator installers and repairers","23","23","0",26.5,"–","47-4021","2015","47-402","high.school",13.17,"hs-"
"1349","Eligibility interviewers, government programs","67","17","50",83.5,"45.1","43-4061","2015","43-406","high.school",11.77,"hs-"
"1350","Emergency management directors","9","6","3",6.5,"–","2652332","2015","265233","high.school",0.23,"hs-"
"1351","Emergency medical technicians and paramedics","175","126","49",174,"34.6","29-2041","2015","29-204","high.school",22.27,"hs-"
"1352","Engine and other machine assemblers","14","12","2",26,"–","51-2031","2015","51-203","high.school",10.76,"hs-"
"1353","Entertainers and performers, sports and related workers, all other","14","11","3",38,"–","27-2099","2015","27-209","high.school",6.99,"hs-"
"1354","Environmental engineers","35","26","9",38,"–","17-2081","2015","17-208","high.school",1.67,"hs-"
"1355","Explosives workers, ordnance handling experts, and blasters","5","5","0",8,"–","47-5031","2015","47-503","high.school",3.1,"hs-"
"1356","Extruding and drawing machine setters, operators, and tenders, metal and plastic","8","7","1",11.5,"–","51-4021","2015","51-402","high.school",6.08,"hs-"
"1357","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","31","25","6",35.5,"–","51-9041","2015","51-904","high.school",18.35,"hs-"
"1358","Farmers, ranchers, and other agricultural managers","129","106","23",936.5,"56.1","2598276","2015","259827","high.school",344.63,"hs-"
"1359","Fence erectors","33","33","0",34,"–","47-4031","2015","47-403","high.school",12.99,"hs-"
"1360","File clerks","145","25","120",274.5,"40.799999999999997","43-4071","2015","43-407","high.school",82.35,"hs-"
"1361","Financial analysts","295","168","127",97,"38.700000000000003","13-2051","2015","13-205","high.school",1.94,"hs-"
"1362","Financial clerks, all other","61","30","32",53.5,"42.7","43-3099","2015","43-309","high.school",8.72,"hs-"
"1363","Financial examiners","17","9","8",14,"–","13-2061","2015","13-206","high.school",0.92,"hs-"
"1364","Financial managers","1124","551","573",1223,"43.8","413395","2015","413395","high.school",122.3,"hs-"
"1365","Financial specialists, all other","66","25","40",88,"40.5","13-2099","2015","13-209","high.school",9.86,"hs-"
"1366","Firefighters","260","245","16",300.5,"40.1","33-2011","2015","33-201","high.school",45.38,"hs-"
"1367","First-line supervisors of construction trades and extraction workers","560","540","20",632.5,"46.2","47-1011","2015","47-101","high.school",261.22,"hs-"
"1368","First-line supervisors of correctional officers","57","41","16",41,"–","33-1011","2015","33-101","high.school",10.74,"hs-"
"1369","First-line supervisors of farming, fishing, and forestry workers","42","32","10",49,"–","45-1011","2015","45-101","high.school",15.78,"hs-"
"1370","First-line supervisors of fire fighting and prevention workers","42","39","3",61,"45.6","33-1021","2015","33-102","high.school",8.36,"hs-"
"1371","First-line supervisors of housekeeping and janitorial workers","172","108","64",299.5,"48.6","37-1011","2015","37-101","high.school",113.81,"hs-"
"1372","First-line supervisors of mechanics, installers, and repairers","270","252","18",279,"48.1","49-1011","2015","49-101","high.school",97.65,"hs-"
"1373","First-line supervisors of office and administrative support workers","1297","434","863",1389.5,"45.7","43-1011","2015","43-101","high.school",308.47,"hs-"
"1374","First-line supervisors of personal service workers","60","25","35",237,"44.7","39-1021","2015","39-102","high.school",62.33,"hs-"
"1375","First-line supervisors of production and operating workers","783","650","133",769.5,"47.2","51-1011","2015","51-101","high.school",290.87,"hs-"
"1376","First-line supervisors of protective service workers, all other","72","56","16",96.5,"47","33-1099","2015","33-109","high.school",22.68,"hs-"
"1377","First-line supervisors of retail sales workers","2326","1296","1030",3230,"43","41-1011","2015","41-101","high.school",943.16,"hs-"
"1378","Flight attendants","63","20","43",88.5,"49.4","53-2031","2015","53-203","high.school",10.71,"hs-"
"1379","Food and tobacco roasting, baking, and drying machine operators and tenders","9","7","1",10.5,"–","51-3091","2015","51-309","high.school",4,"hs-"
"1380","Food preparation workers","366","174","192",876.5,"27.8","35-2021","2015","35-202","high.school",321.68,"hs-"
"1381","Food servers, nonrestaurant","93","31","62",223,"33.200000000000003","35-3041","2015","35-304","high.school",96.78,"hs-"
"1382","Food service managers","763","389","374",1081,"40","2612155","2015","261215","high.school",309.17,"hs-"
"1383","Forest and conservation workers","15","10","5",13.5,"–","45-4011","2015","45-401","high.school",3.46,"hs-"
"1384","Fundraisers","62","14","48",83.5,"42.9","13-1131","2015","13-113","high.school",2.59,"hs-"
"1385","Furnace, kiln, oven, drier, and kettle operators and tenders","6","5","0",15.5,"–","51-9051","2015","51-905","high.school",6.84,"hs-"
"1386","Furniture finishers","6","6","0",7,"–","51-7021","2015","51-702","high.school",2.85,"hs-"
"1387","Gaming cage workers","11","2","10",11,"–","43-3041","2015","43-304","high.school",4.3,"hs-"
"1388","Gaming managers","19","13","6",21.5,"–","2619460","2015","261946","high.school",5.25,"hs-"
"1389","General and operations managers","823","621","202",1069.5,"45.6","11-1021","2015","11-102","high.school",182.88,"hs-"
"1390","Glaziers","33","32","0",41.5,"–","47-2121","2015","47-212","high.school",20.21,"hs-"
"1391","Graders and sorters, agricultural products","83","32","51",106,"42.4","45-2041","2015","45-204","high.school",30.63,"hs-"
"1392","Hazardous materials removal workers","39","35","5",35,"–","47-4041","2015","47-404","high.school",12.98,"hs-"
"1393","Health diagnosing and treating practitioners, all other","2","0","2",24,"–","29-1199","2015","29-119","high.school",0.67,"hs-"
"1394","Heating, air conditioning, and refrigeration mechanics and installers","341","337","4",362,"41.1","49-9021","2015","49-902","high.school",144.8,"hs-"
"1395","Highway maintenance workers","91","91","0",102.5,"48.1","47-4051","2015","47-405","high.school",59.55,"hs-"
"1396","Home appliance repairers","36","36","0",49.5,"48.2","49-9031","2015","49-903","high.school",19.8,"hs-"
"1397","Hosts and hostesses, restaurant, lounge, and coffee shop","66","8","58",279.5,"21.8","35-9031","2015","35-903","high.school",104.53,"hs-"
"1398","Hotel, motel, and resort desk clerks","127","58","69",111,"30.1","43-4081","2015","43-408","high.school",30.08,"hs-"
"1399","Human resources assistants, except payroll and timekeeping","50","11","40",132.5,"42.6","43-4161","2015","43-416","high.school",28.89,"hs-"
"1400","Human resources managers","254","68","186",221.5,"44.3","446267","2015","446267","high.school",25.92,"hs-"
"1401","Industrial production managers","267","221","45",258.5,"47.6","420700","2015","420700","high.school",52.48,"hs-"
"1402","Industrial truck and tractor operators","579","541","37",547,"40","53-7051","2015","53-705","high.school",279.52,"hs-"
"1403","Information and record clerks, all other","100","22","78",103.5,"44.2","43-4199","2015","43-419","high.school",20.08,"hs-"
"1404","Inspectors, testers, sorters, samplers, and weighers","701","440","260",687.5,"43.8","51-9061","2015","51-906","high.school",249.56,"hs-"
"1405","Insurance claims and policy processing clerks","259","56","203",258.5,"41.5","43-9041","2015","43-904","high.school",63.59,"hs-"
"1406","Insurance sales agents","427","194","232",571,"45.6","41-3021","2015","41-302","high.school",82.22,"hs-"
"1407","Interviewers, except eligibility and loan","105","16","89",140.5,"42.2","43-4111","2015","43-411","high.school",30.21,"hs-"
"1408","Jewelers and precious stone and metal workers","19","11","7",50,"48.6","51-9071","2015","51-907","high.school",15.3,"hs-"
"1409","Laundry and dry-cleaning workers","133","53","80",176,"43.2","51-6011","2015","51-601","high.school",73.04,"hs-"
"1410","Librarians","130","27","102",187.5,"50.5","25-4021","2015","25-402","high.school",3.56,"hs-"
"1411","Library assistants, clerical","35","7","28",92,"39.4","43-4121","2015","43-412","high.school",16.47,"hs-"
"1412","Library technicians","18","4","15",42,"–","25-4031","2015","25-403","high.school",15.46,"hs-"
"1413","Licensed practical and licensed vocational nurses","508","48","459",544.5,"43.8","29-2061","2015","29-206","high.school",122.51,"hs-"
"1414","Loan interviewers and clerks","134","25","109",156,"39.9","43-4131","2015","43-413","high.school",40.4,"hs-"
"1415","Lodging managers","123","54","68",148.5,"47.1","2623113","2015","262311","high.school",28.07,"hs-"
"1416","Logisticians","111","66","44",91,"46.1","13-1081","2015","13-108","high.school",13.2,"hs-"
"1417","Machinists","338","320","17",397.5,"46.2","51-4041","2015","51-404","high.school",180.07,"hs-"
"1418","Mail clerks and mail machine operators, except postal service","63","24","39",78,"50","43-9051","2015","43-905","high.school",33.07,"hs-"
"1419","Maintenance and repair workers, general","469","459","10",452,"47.9","49-9071","2015","49-907","high.school",183.06,"hs-"
"1420","Management analysts","529","291","237",792,"47.2","13-1111","2015","13-111","high.school",38.81,"hs-"
"1421","Marine engineers and naval architects","9","9","0",9.5,"–","17-2121","2015","17-212","high.school",0.85,"hs-"
"1422","Market research analysts and marketing specialists","203","85","118",230,"38.5","13-1161","2015","13-116","high.school",9.66,"hs-"
"1423","Massage therapists","37","16","22",165,"41.8","31-9011","2015","31-901","high.school",30.69,"hs-"
"1424","Materials engineers","36","33","4",43,"–","17-2131","2015","17-213","high.school",2.28,"hs-"
"1425","Mechanical engineers","316","294","23",307.5,"42.4","17-2141","2015","17-214","high.school",14.14,"hs-"
"1426","Medical and health services managers","592","154","438",585,"48.3","2634069","2015","263406","high.school",48.55,"hs-"
"1427","Medical records and health information technicians","174","17","157",89,"49.8","29-2071","2015","29-207","high.school",18.87,"hs-"
"1428","Meeting, convention, and event planners","117","27","90",128.5,"37.6","13-1121","2015","13-112","high.school",12.72,"hs-"
"1429","Meter readers, utilities","39","34","4",29,"–","43-5041","2015","43-504","high.school",12.44,"hs-"
"1430","Morticians, undertakers, and funeral directors","23","17","7",38.5,"–","39-4031","2015","39-403","high.school",3.66,"hs-"
"1431","Motion picture projectionists","3","3","0",3.5,"–","39-3021","2015","39-302","high.school",0.75,"hs-"
"1432","Motor vehicle operators, all other","21","18","3",68.5,"59.3","53-3099","2015","53-309","high.school",29.87,"hs-"
"1433","Natural sciences managers","24","11","13",16,"–","2637722","2015","263772","high.school",0.26,"hs-"
"1434","New accounts clerks","20","3","17",25.5,"–","43-4141","2015","43-414","high.school",5.18,"hs-"
"1435","Nonfarm animal caretakers","100","32","68",177,"32.1","39-2021","2015","39-202","high.school",62.84,"hs-"
"1436","Nurse anesthetists","23","11","12",25.5,"–","29-1151","2015","29-115","high.school",0,"hs-"
"1437","Occupational therapists","74","10","64",115,"40.700000000000003","29-1122","2015","29-112","high.school",1.15,"hs-"
"1438","Office clerks, general","929","156","773",1143.5,"42.7","43-9061","2015","43-906","high.school",345.34,"hs-"
"1439","Office machine operators, except computer","31","14","16",43.5,"–","43-9071","2015","43-907","high.school",14.01,"hs-"
"1440","Operations research analysts","122","59","63",129,"44.8","15-2031","2015","15-203","high.school",7.87,"hs-"
"1441","Opticians, dispensing","44","21","23",50.5,"–","29-2081","2015","29-208","high.school",13.13,"hs-"
"1442","Optometrists","19","6","13",37,"–","29-1041","2015","29-104","high.school",0,"hs-"
"1443","Packaging and filling machine operators and tenders","239","118","120",282.5,"39.9","51-9111","2015","51-911","high.school",118.93,"hs-"
"1444","Paralegals and legal assistants","341","47","294",411,"42","23-2011","2015","23-201","high.school",39.46,"hs-"
"1445","Parking lot attendants","57","49","8",84.5,"28.3","53-6021","2015","53-602","high.school",30.76,"hs-"
"1446","Paving, surfacing, and tamping equipment operators","10","10","0",22.5,"–","47-2071","2015","47-207","high.school",12.49,"hs-"
"1447","Payroll and timekeeping clerks","128","17","111",155.5,"47.6","43-3051","2015","43-305","high.school",40.59,"hs-"
"1448","Personal care aides","680","128","552",1156.5,"44.2","39-9021","2015","39-902","high.school",400.15,"hs-"
"1449","Personal care and service workers, all other","67","35","32",100,"35.299999999999997","39-9099","2015","39-909","high.school",28.8,"hs-"
"1450","Pest control workers","77","74","3",75,"42.9","37-2021","2015","37-202","high.school",31.8,"hs-"
"1451","Pharmacists","206","98","108",281.5,"42.7","29-1051","2015","29-105","high.school",0,"hs-"
"1452","Photographers","45","24","21",179,"40.1","27-4021","2015","27-402","high.school",19.33,"hs-"
"1453","Photographic process workers and processing machine operators","26","12","14",49,"–","51-9151","2015","51-915","high.school",15.73,"hs-"
"1454","Physical scientists, all other","189","121","68",156,"43.2","19-2099","2015","19-209","high.school",0,"hs-"
"1455","Physician assistants","57","17","40",118.5,"39.200000000000003","29-1071","2015","29-107","high.school",1.19,"hs-"
"1456","Plasterers and stucco masons","20","19","1",22.5,"–","47-2161","2015","47-216","high.school",8.12,"hs-"
"1457","Podiatrists","9","5","4",10.5,"–","29-1081","2015","29-108","high.school",0,"hs-"
"1458","Postal service clerks","127","76","51",124,"52.1","43-5051","2015","43-505","high.school",37.32,"hs-"
"1459","Prepress technicians and workers","14","12","2",31,"–","51-5111","2015","51-511","high.school",10.08,"hs-"
"1460","Pressers, textile, garment, and related materials","21","9","12",54.5,"45.7","51-6021","2015","51-602","high.school",19.62,"hs-"
"1461","Private detectives and investigators","85","49","36",94.5,"43.5","33-9021","2015","33-902","high.school",7.94,"hs-"
"1462","Procurement clerks","35","15","21",27,"–","43-3061","2015","43-306","high.school",5.75,"hs-"
"1463","Production, planning, and expediting clerks","256","116","141",277,"46.1","43-5061","2015","43-506","high.school",62.6,"hs-"
"1464","Proofreaders and copy markers","2","0","2",8.5,"–","43-9081","2015","43-908","high.school",1.13,"hs-"
"1465","Property, real estate, and community association managers","401","171","230",649,"50.8","2645027","2015","264502","high.school",123.31,"hs-"
"1466","Public relations and fundraising managers","59","24","35",56.5,"41.1","48153","2015","48153","high.school",1.13,"hs-"
"1467","Public relations specialists","120","49","71",152,"37.4","27-3031","2015","27-303","high.school",4.56,"hs-"
"1468","Purchasing managers","193","109","84",201,"47.5","424353","2015","424353","high.school",21.11,"hs-"
"1469","Rail-track laying and maintenance equipment operators","9","9","0",11.5,"–","47-4061","2015","47-406","high.school",6.26,"hs-"
"1470","Railroad conductors and yardmasters","55","52","4",51,"39","53-4031","2015","53-403","high.school",18.16,"hs-"
"1471","Receptionists and information clerks","852","72","781",1281.5,"37.6","43-4171","2015","43-417","high.school",420.33,"hs-"
"1472","Refuse and recyclable material collectors","72","66","6",107,"41.1","53-7081","2015","53-708","high.school",50.4,"hs-"
"1473","Registered nurses","2382","278","2104",2883.5,"44.2","29-1141","2015","29-114","high.school",34.6,"hs-"
"1474","Religious workers, all other","44","23","21",71.5,"47.1","21-2099","2015","21-209","high.school",9.51,"hs-"
"1475","Reservation and transportation ticket agents and travel clerks","95","34","61",118,"44.2","43-4181","2015","43-418","high.school",26.31,"hs-"
"1476","Residential advisors","24","8","16",49,"–","39-9041","2015","39-904","high.school",8.72,"hs-"
"1477","Retail salespersons","1918","1159","759",3285.5,"34.700000000000003","41-2031","2015","41-203","high.school",965.94,"hs-"
"1478","Roofers","171","170","2",199.5,"37.299999999999997","47-2181","2015","47-218","high.school",74.41,"hs-"
"1479","Sales engineers","33","31","2",31.5,"–","41-9031","2015","41-903","high.school",1.29,"hs-"
"1480","Sales representatives, services, all other","406","268","139",444.5,"42.1","41-3099","2015","41-309","high.school",62.67,"hs-"
"1481","Sawing machine setters, operators, and tenders, wood","26","22","4",31.5,"–","51-7041","2015","51-704","high.school",15.62,"hs-"
"1482","Securities, commodities, and financial services sales agents","211","146","65",279,"41.7","41-3031","2015","41-303","high.school",19.81,"hs-"
"1483","Sewing machine operators","147","42","105",162,"48","51-6031","2015","51-603","high.school",57.19,"hs-"
"1484","Sheet metal workers","106","100","6",118,"43.2","47-2211","2015","47-221","high.school",55.22,"hs-"
"1485","Shipping, receiving, and traffic clerks","502","354","148",545,"41.1","43-5071","2015","43-507","high.school",249.61,"hs-"
