"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"60","Computer systems analysts","1328","1410","1144",447,"43.1","15-1121","2011","15-112","less.hs",2.23,"hs-"
"61","Computer, automated teller, and office machine repairers","811","812","-",305,"40.6","49-2011","2011","49-201","less.hs",6.71,"hs-"
"62","Construction and building inspectors","906","919","-",75,"50.7","47-4011","2011","47-401","less.hs",1.5,"hs-"
"63","Construction laborers","586","587","-",1253,"36.9","47-2061","2011","47-206","less.hs",414.74,"hs-"
"64","Construction managers","1268","1325","-",926,"46.9","2601198","2011","260119","less.hs",62.04,"hs-"
"65","Cost estimators","1080","1117","-",119,"44.7","13-1051","2011","13-105","less.hs",2.5,"hs-"
"66","Counter and rental clerks","603","620","-",139,"38.200000000000003","41-2021","2011","41-202","less.hs",17.65,"hs-"
"67","Couriers and messengers","744","785","-",249,"46.5","43-5021","2011","43-502","less.hs",19.17,"hs-"
"68","Court, municipal, and license clerks","763","-","738",86,"48.9","43-4031","2011","43-403","less.hs",1.55,"hs-"
"69","Crane and tower operators","739","736","-",63,"42.7","53-7021","2011","53-702","less.hs",10.46,"hs-"
"70","Credit analysts","-","-","-",24,"–","13-2041","2011","13-204","less.hs",0.34,"hs-"
"71","Credit authorizers, checkers, and clerks","-","-","-",45,"–","43-4041","2011","43-404","less.hs",1.12,"hs-"
"72","Crossing guards","-","-","-",59,"53.6","33-9091","2011","33-909","less.hs",12.74,"hs-"
"73","Customer service representatives","588","628","569",1916,"37","43-4051","2011","43-405","less.hs",78.56,"hs-"
"74","Data entry keyers","595","-","597",334,"40","43-9021","2011","43-902","less.hs",9.35,"hs-"
"75","Database administrators","1238","1470","-",134,"42.5","15-1141","2011","15-114","less.hs",0.67,"hs-"
"76","Dental assistants","579","-","582",307,"36.299999999999997","31-9091","2011","31-909","less.hs",9.21,"hs-"
"77","Dental hygienists","986","-","992",148,"42.2","29-2021","2011","29-202","less.hs",0.15,"hs-"
"78","Detectives and criminal investigators","1154","1192","-",151,"42.3","33-3021","2011","33-302","less.hs",0.91,"hs-"
"79","Dietitians and nutritionists","897","-","906",102,"47.7","29-1031","2011","29-103","less.hs",3.06,"hs-"
"80","Directors, religious activities and education","-","-","-",44,"–","21-2021","2011","21-202","less.hs",0.48,"hs-"
"81","Dishwashers","332","321","-",273,"28.3","35-9021","2011","35-902","less.hs",124.22,"hs-"
"82","Door-to-door sales workers, news and street vendors, and related workers","526","-","-",201,"43.8","41-9091","2011","41-909","less.hs",31.76,"hs-"
"83","Earth drillers, except oil and gas","-","-","-",23,"–","47-5021","2011","47-502","less.hs",3.63,"hs-"
"84","Economists","-","-","-",23,"–","19-3011","2011","19-301","less.hs",0.05,"hs-"
"85","Editors","902","933","892",166,"41.4","27-3041","2011","27-304","less.hs",0.83,"hs-"
"86","Electrical power-line installers and repairers","1116","1116","-",124,"40.6","49-9051","2011","49-905","less.hs",7.07,"hs-"
"87","Electricians","857","855","-",682,"41.5","47-2111","2011","47-211","less.hs",49.1,"hs-"
"88","Elevator installers and repairers","-","-","-",30,"–","47-4021","2011","47-402","less.hs",1.02,"hs-"
"89","Eligibility interviewers, government programs","632","-","632",85,"42.9","43-4061","2011","43-406","less.hs",1.19,"hs-"
"90","Emergency management directors","-","-","-",5,"–","2652332","2011","265233","less.hs",0.06,"hs-"
"91","Emergency medical technicians and paramedics","715","757","649",185,"31.8","29-2041","2011","29-204","less.hs",1.66,"hs-"
"92","Engine and other machine assemblers","-","-","-",34,"–","51-2031","2011","51-203","less.hs",4.22,"hs-"
"93","Entertainers and performers, sports and related workers, all other","-","-","-",44,"–","27-2099","2011","27-209","less.hs",1.72,"hs-"
"94","Environmental engineers","-","-","-",45,"–","17-2081","2011","17-208","less.hs",0.09,"hs-"
"95","Explosives workers, ordnance handling experts, and blasters","-","-","-",9,"–","47-5031","2011","47-503","less.hs",0.64,"hs-"
"96","Extruding and drawing machine setters, operators, and tenders, metal and plastic","-","-","-",13,"–","51-4021","2011","51-402","less.hs",1.96,"hs-"
"97","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","-","-","-",34,"–","51-9041","2011","51-904","less.hs",7.04,"hs-"
"98","Farmers, ranchers, and other agricultural managers","800","855","-",978,"55.9","2598276","2011","259827","less.hs",112.47,"hs-"
"99","Fence erectors","-","-","-",45,"–","47-4031","2011","47-403","less.hs",16.56,"hs-"
"100","File clerks","616","-","620",334,"40.799999999999997","43-4071","2011","43-407","less.hs",13.03,"hs-"
"101","Financial analysts","1737","-","-",84,"39.299999999999997","13-2051","2011","13-205","less.hs",0.25,"hs-"
"102","Financial clerks, all other","793","-","-",64,"41.7","43-3099","2011","43-309","less.hs",1.02,"hs-"
"103","Financial examiners","-","-","-",8,"–","13-2061","2011","13-206","less.hs",0.02,"hs-"
"104","Financial managers","1166","1504","991",1107,"43.6","413395","2011","413395","less.hs",8.86,"hs-"
"105","Financial specialists, all other","913","-","-",77,"43","13-2099","2011","13-209","less.hs",1,"hs-"
"106","Firefighters","1000","998","-",305,"37.299999999999997","33-2011","2011","33-201","less.hs",1.83,"hs-"
"107","First-line supervisors of construction trades and extraction workers","992","1001","-",634,"45.2","47-1011","2011","47-101","less.hs",86.22,"hs-"
"108","First-line supervisors of correctional officers","-","-","-",42,"–","33-1011","2011","33-101","less.hs",0.38,"hs-"
"109","First-line supervisors of farming, fishing, and forestry workers","-","-","-",52,"51.8","45-1011","2011","45-101","less.hs",15.6,"hs-"
"110","First-line supervisors of fire fighting and prevention workers","-","-","-",44,"–","33-1021","2011","33-102","less.hs",0.18,"hs-"
"111","First-line supervisors of housekeeping and janitorial workers","646","756","488",292,"48.9","37-1011","2011","37-101","less.hs",46.14,"hs-"
