"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"1","Total, all occupations","00-0000",150539.9,160328.8,9788.9,6.5,46506.9,"37040.0","-","-","-","2014"
"2","Accountants and auditors
 Show/hide Example Job Titles","13-2011",1332.7,1475.1,142.4,10.7,498,"68150.0","Bachelor's degree","None","None","2014"
"3","Actors
 Show/hide Example Job Titles","27-2011",69.4,76.1,6.6,9.6,34,"N/A","Some college, no degree","None","Long-term on-the-job training","2014"
"4","Actuaries
 Show/hide Example Job Titles","15-2011",24.6,29,4.4,18.1,11.7,"100610.0","Bachelor's degree","None","Long-term on-the-job training","2014"
"5","Adhesive bonding machine operators and tenders
 Show/hide Example Job Titles","51-9191",18.4,17.1,-1.2,-6.8,4.8,"32290.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"6","Administrative law judges, adjudicators, and hearing officers
 Show/hide Example Job Titles","23-1021",15,14.5,-0.5,-3.6,2.2,"92110.0","Doctoral or professional degree","5 years or more","Short-term on-the-job training","2014"
"7","Administrative services managers
 Show/hide Example Job Titles","406090.0",287.3,310.8,23.5,8.2,77.2,"90050.0","Bachelor's degree","Less than 5 years","None","2014"
"8","Adult basic and secondary education and literacy teachers and instructors
 Show/hide Example Job Titles","25-3011",77.5,83,5.5,7.1,20.1,"50650.0","Bachelor's degree","None","Internship/residency","2014"
"9","Advertising and promotions managers
 Show/hide Example Job Titles","40848.0",31,32.4,1.5,4.7,11.4,"100810.0","Bachelor's degree","Less than 5 years","None","2014"
"10","Advertising sales agents
 Show/hide Example Job Titles","41-3011",167.9,163.4,-4.5,-2.7,49.8,"50380.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"11","Aerospace engineering and operations technicians
 Show/hide Example Job Titles","17-3021",11.4,11.8,0.4,3.6,3.2,"68020.0","Associate's degree","None","None","2014"
"12","Aerospace engineers
 Show/hide Example Job Titles","17-2011",72.5,70.8,-1.6,-2.3,20.7,"109650.0","Bachelor's degree","None","None","2014"
"13","Agents and business managers of artists, performers, and athletes
 Show/hide Example Job Titles","13-1011",19.7,20.2,0.5,2.5,6.8,"62080.0","Bachelor's degree","Less than 5 years","None","2014"
"14","Agricultural and food science technicians
 Show/hide Example Job Titles","19-4011",33,34.7,1.6,4.9,12.4,"37550.0","Associate's degree","None","Moderate-term on-the-job training","2014"
"15","Agricultural engineers
 Show/hide Example Job Titles","17-2021",2.9,3,0.1,4.4,0.7,"73640.0","Bachelor's degree","None","None","2014"
"16","Agricultural equipment operators
 Show/hide Example Job Titles","45-2091",57.8,60.9,3.1,5.4,18.5,"28850.0","No formal educational credential","None","Short-term on-the-job training","2014"
"17","Agricultural inspectors
 Show/hide Example Job Titles","45-2011",14.2,14.1,-0.1,-0.6,3.6,"42800.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"18","Agricultural sciences teachers, postsecondary
 Show/hide Example Job Titles","25-1041",12.1,12.8,0.7,6,2.9,"91580.0","Doctoral or professional degree","None","None","2014"
"19","Agricultural workers, all other
 Show/hide Example Job Titles","45-2099",10.6,10,-0.6,-5.7,2.8,"31160.0","No formal educational credential","None","Short-term on-the-job training","2014"
"20","Air traffic controllers
 Show/hide Example Job Titles","53-2021",24.5,22.4,-2.1,-8.6,7.5,"122410.0","Associate's degree","None","Long-term on-the-job training","2014"
"21","Aircraft cargo handling supervisors
 Show/hide Example Job Titles","53-1011",5.8,5.8,0,0.5,1.9,"47360.0","High school diploma or equivalent","Less than 5 years","None","2014"
"22","Aircraft mechanics and service technicians
 Show/hide Example Job Titles","49-3011",119.9,121.5,1.6,1.3,30.1,"60170.0","Postsecondary nondegree award","None","None","2014"
"23","Aircraft structure, surfaces, rigging, and systems assemblers
 Show/hide Example Job Titles","51-2011",40.6,38.6,-2,-4.9,8.1,"50050.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"24","Airfield operations specialists
 Show/hide Example Job Titles","53-2022",7.2,7.5,0.3,3.9,2.5,"48910.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"25","Airline pilots, copilots, and flight engineers
 Show/hide Example Job Titles","53-2011",75.7,76.5,0.8,1.1,19.3,"127820.0","Bachelor's degree","Less than 5 years","Moderate-term on-the-job training","2014"
"26","Ambulance drivers and attendants, except emergency medical technicians
 Show/hide Example Job Titles","53-3011",19.6,26.1,6.5,33,9.8,"23850.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"27","Amusement and recreation attendants
 Show/hide Example Job Titles","39-3091",288.6,310.9,22.3,7.7,143.2,"20160.0","No formal educational credential","None","Short-term on-the-job training","2014"
"28","Anesthesiologists
 Show/hide Example Job Titles","29-1061",33.7,40.8,7.1,21,16.1,">=208,000","Doctoral or professional degree","None","Internship/residency","2014"
"29","Animal breeders
 Show/hide Example Job Titles","45-2021",7,6.9,-0.1,-1.6,1.9,"35690.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"30","Animal control workers
 Show/hide Example Job Titles","33-9011",15,15.9,0.9,5.8,4.3,"34550.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"31","Animal scientists
 Show/hide Example Job Titles","19-1011",2.9,3.2,0.2,7.3,1.2,"60330.0","Bachelor's degree","None","None","2014"
"32","Animal trainers
 Show/hide Example Job Titles","39-2011",36.8,40.9,4.1,11.1,17.4,"27690.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"33","Anthropologists and archeologists
 Show/hide Example Job Titles","19-3091",7.7,8,0.3,3.8,1.2,"63190.0","Master's degree","None","None","2014"
"34","Anthropology and archeology teachers, postsecondary
 Show/hide Example Job Titles","25-1061",7.5,8.2,0.7,9.3,2,"81350.0","Doctoral or professional degree","None","None","2014"
"35","Appraisers and assessors of real estate
 Show/hide Example Job Titles","13-2021",85.8,92.5,6.8,7.9,20.5,"51850.0","Bachelor's degree","None","Long-term on-the-job training","2014"
"36","Arbitrators, mediators, and conciliators
 Show/hide Example Job Titles","23-1022",8.4,9.2,0.8,9.2,2,"59770.0","Bachelor's degree","Less than 5 years","Moderate-term on-the-job training","2014"
"37","Architects, except landscape and naval
 Show/hide Example Job Titles","17-1011",112.6,120.4,7.8,6.9,26.3,"76930.0","Bachelor's degree","None","Internship/residency","2014"
"38","Architectural and civil drafters
 Show/hide Example Job Titles","17-3011",94,91.2,-2.8,-3,11.1,"51640.0","Associate's degree","None","None","2014"
"39","Architectural and engineering managers
 Show/hide Example Job Titles","2608503.0",182.1,185.8,3.7,2,59.5,"134730.0","Bachelor's degree","5 years or more","None","2014"
"40","Architecture teachers, postsecondary
 Show/hide Example Job Titles","25-1031",9.1,9.9,0.8,9.4,2.5,"79250.0","Doctoral or professional degree","None","None","2014"
"41","Archivists
 Show/hide Example Job Titles","25-4011",6.9,7.4,0.5,6.8,2.6,"50500.0","Master's degree","None","None","2014"
"42","Area, ethnic, and cultural studies teachers, postsecondary
 Show/hide Example Job Titles","25-1062",11.6,13.3,1.7,15.1,3.8,"73020.0","Doctoral or professional degree","None","None","2014"
"43","Art directors
 Show/hide Example Job Titles","27-1011",74.6,76.4,1.8,2.4,15.8,"89820.0","Bachelor's degree","5 years or more","None","2014"
"44","Art, drama, and music teachers, postsecondary
 Show/hide Example Job Titles","25-1121",120.7,133.7,13,10.8,34.4,"68650.0","Master's degree","None","None","2014"
"45","Artists and related workers, all other
 Show/hide Example Job Titles","27-1019",13.4,13.5,0.1,0.4,2.6,"61360.0","No formal educational credential","None","Long-term on-the-job training","2014"
"46","Assemblers and fabricators, all other
 Show/hide Example Job Titles","51-2099",240.7,252.2,11.5,4.8,63.2,"28550.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"47","Astronomers
 Show/hide Example Job Titles","19-2011",1.9,1.9,0.1,2.8,0.4,"104740.0","Doctoral or professional degree","None","None","2014"
"48","Athletes and sports competitors
 Show/hide Example Job Titles","27-2021",13.7,14.5,0.8,5.6,5.4,"47710.0","No formal educational credential","None","Long-term on-the-job training","2014"
"49","Athletic trainers
 Show/hide Example Job Titles","29-9091",25.4,30.8,5.4,21.1,10.4,"45630.0","Bachelor's degree","None","None","2014"
"50","Atmospheric and space scientists
 Show/hide Example Job Titles","19-2021",11.8,12.9,1.1,9.2,3.3,"92460.0","Bachelor's degree","None","None","2014"
"51","Atmospheric, earth, marine, and space sciences teachers, postsecondary
 Show/hide Example Job Titles","25-1051",13.2,14.3,1.1,8.7,3.5,"85410.0","Doctoral or professional degree","None","None","2014"
"52","Audio and video equipment technicians
 Show/hide Example Job Titles","27-4011",70.9,79.4,8.4,11.9,21.9,"42230.0","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"53","Audio-visual and multimedia collections specialists
 Show/hide Example Job Titles","25-9011",10,10.8,0.8,7.9,1.8,"47840.0","Bachelor's degree","Less than 5 years","None","2014"
"54","Audiologists
 Show/hide Example Job Titles","29-1181",13.2,16.9,3.8,28.6,6.8,"75980.0","Doctoral or professional degree","None","None","2014"
"55","Automotive and watercraft service attendants
 Show/hide Example Job Titles","53-6031",105.8,117.6,11.7,11.1,53.8,"22420.0","No formal educational credential","None","Short-term on-the-job training","2014"
"56","Automotive body and related repairers
 Show/hide Example Job Titles","49-3021",149.7,163.5,13.7,9.2,48.1,"41540.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"57","Automotive glass installers and repairers
 Show/hide Example Job Titles","49-3022",19.3,20.8,1.5,7.8,4.1,"34340.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"58","Automotive service technicians and mechanics
 Show/hide Example Job Titles","49-3023",739.9,779,39.1,5.3,237.2,"38470.0","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"59","Avionics technicians
 Show/hide Example Job Titles","49-2091",17.4,17.5,0.1,0.4,3.1,"60760.0","Associate's degree","None","None","2014"
"60","Baggage porters and bellhops
 Show/hide Example Job Titles","39-6011",43.6,47.1,3.5,8,12.4,"22260.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"61","Bailiffs
 Show/hide Example Job Titles","33-3011",17.3,18.1,0.8,4.7,5.6,"42670.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"62","Bakers
 Show/hide Example Job Titles","51-3011",185.3,198.3,13,7,53.6,"25090.0","No formal educational credential","None","Long-term on-the-job training","2014"
"63","Barbers
 Show/hide Example Job Titles","39-5011",59.2,65.1,6,10.1,17,"25760.0","Postsecondary nondegree award","None","None","2014"
"64","Bartenders
 Show/hide Example Job Titles","35-3011",580.9,640.9,60.1,10.3,278.3,"20800.0","No formal educational credential","None","Short-term on-the-job training","2014"
"65","Bicycle repairers
 Show/hide Example Job Titles","49-3091",10.8,13.2,2.3,21.7,6,"27630.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"66","Bill and account collectors
 Show/hide Example Job Titles","43-3011",350.4,330.9,-19.6,-5.6,85.6,"35350.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"67","Billing and posting clerks
 Show/hide Example Job Titles","43-3021",514.6,581.1,66.5,12.9,174.1,"36150.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"68","Biochemists and biophysicists
 Show/hide Example Job Titles","19-1021",34.1,36.9,2.8,8.2,11.9,"82180.0","Doctoral or professional degree","None","None","2014"
"69","Biological science teachers, postsecondary
 Show/hide Example Job Titles","25-1042",64.3,74.8,10.4,16.2,21.8,"76650.0","Doctoral or professional degree","None","None","2014"
"70","Biological scientists, all other
 Show/hide Example Job Titles","19-1029",36.4,36.2,-0.2,-0.4,9.7,"74790.0","Bachelor's degree","None","None","2014"
"71","Biological technicians
 Show/hide Example Job Titles","19-4021",79.3,83.5,4.1,5.2,26.3,"42520.0","Bachelor's degree","None","None","2014"
"72","Biomedical engineers
 Show/hide Example Job Titles","17-2031",22.1,27.2,5.1,23.1,10.9,"85620.0","Bachelor's degree","None","None","2014"
"73","Boilermakers
 Show/hide Example Job Titles","47-2011",17.4,19,1.5,8.7,4.2,"62060.0","High school diploma or equivalent","None","Apprenticeship","2014"
"74","Bookkeeping, accounting, and auditing clerks
 Show/hide Example Job Titles","43-3031",1760.3,1611.5,-148.7,-8.4,172.6,"38390.0","Some college, no degree","None","Moderate-term on-the-job training","2014"
"75","Brickmasons and blockmasons
 Show/hide Example Job Titles","47-2021",78.1,92.6,14.5,18.6,21,"49250.0","High school diploma or equivalent","None","Apprenticeship","2014"
"76","Bridge and lock tenders
 Show/hide Example Job Titles","53-6011",3.5,3.4,0,-1.1,1.8,"49090.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"77","Broadcast news analysts
 Show/hide Example Job Titles","27-3021",5.1,4.5,-0.6,-12.6,1.6,"56680.0","Bachelor's degree","None","None","2014"
"78","Broadcast technicians
 Show/hide Example Job Titles","27-4012",30.1,28.2,-2,-6.5,5.7,"38550.0","Associate's degree","None","Short-term on-the-job training","2014"
"79","Brokerage clerks
 Show/hide Example Job Titles","43-4011",57.2,62.4,5.2,9,19.1,"49200.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"80","Budget analysts
 Show/hide Example Job Titles","13-2031",60.8,62.3,1.5,2.5,16.7,"73840.0","Bachelor's degree","None","None","2014"
"81","Building cleaning workers, all other
 Show/hide Example Job Titles","37-2019",16.9,17.7,0.8,4.8,4.2,"29700.0","No formal educational credential","None","Short-term on-the-job training","2014"
"82","Bus and truck mechanics and diesel engine specialists
 Show/hide Example Job Titles","49-3031",263.9,295.5,31.6,12,76.9,"45170.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"83","Bus drivers, school or special client
 Show/hide Example Job Titles","53-3022",497.3,524.9,27.7,5.6,93,"30150.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"84","Bus drivers, transit and intercity
 Show/hide Example Job Titles","53-3021",167.8,177.6,9.8,5.9,31.9,"39790.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"85","Business operations specialists, all other
 Show/hide Example Job Titles","13-1199",998,1046,48,4.8,166.9,"69040.0","Bachelor's degree","None","None","2014"
"86","Business teachers, postsecondary
 Show/hide Example Job Titles","25-1011",106.8,116.2,9.4,8.8,28.3,"77490.0","Doctoral or professional degree","None","None","2014"
"87","Butchers and meat cutters
 Show/hide Example Job Titles","51-3021",139,146,7,5,34.4,"29870.0","No formal educational credential","None","Long-term on-the-job training","2014"
"88","Buyers and purchasing agents, farm products
 Show/hide Example Job Titles","13-1021",12.9,13.5,0.6,4.6,3.3,"58430.0","Bachelor's degree","None","Long-term on-the-job training","2014"
"89","Cabinetmakers and bench carpenters
 Show/hide Example Job Titles","51-7011",98.1,99.3,1.3,1.3,9.2,"33050.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"90","Camera and photographic equipment repairers
 Show/hide Example Job Titles","49-9061",3.7,3.8,0.2,4.7,0.8,"41060.0","Associate's degree","None","Long-term on-the-job training","2014"
"91","Camera operators, television, video, and motion picture
 Show/hide Example Job Titles","27-4031",25.4,25.9,0.5,2,2.8,"55080.0","Bachelor's degree","None","None","2014"
"92","Captains, mates, and pilots of water vessels
 Show/hide Example Job Titles","53-5021",35.1,38.7,3.6,10.2,17.2,"72680.0","Postsecondary nondegree award","Less than 5 years","None","2014"
"93","Cardiovascular technologists and technicians
 Show/hide Example Job Titles","29-2031",52,63.5,11.5,22.2,21.4,"55570.0","Associate's degree","None","None","2014"
"94","Career/technical education teachers, middle school
 Show/hide Example Job Titles","25-2023",13.7,14.6,0.8,5.9,3.9,"57560.0","Bachelor's degree","Less than 5 years","Internship/residency","2014"
"95","Career/technical education teachers, secondary school
 Show/hide Example Job Titles","25-2032",79.6,79.9,0.3,0.4,19.2,"57320.0","Bachelor's degree","Less than 5 years","Internship/residency","2014"
"96","Cargo and freight agents
 Show/hide Example Job Titles","43-5011",78.8,84.3,5.5,7,31.3,"41920.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"97","Carpenters
 Show/hide Example Job Titles","47-2031",945.4,1005.8,60.4,6.4,169.1,"43600.0","High school diploma or equivalent","None","Apprenticeship","2014"
"98","Carpet installers
 Show/hide Example Job Titles","47-2041",45.3,45.1,-0.2,-0.5,6.3,"38280.0","No formal educational credential","None","Short-term on-the-job training","2014"
"99","Cartographers and photogrammetrists
 Show/hide Example Job Titles","17-1021",12.3,15.9,3.6,29.3,7.4,"62750.0","Bachelor's degree","None","None","2014"
"100","Cashiers
 Show/hide Example Job Titles","41-2011",3424.2,3491.1,67,2,1523.8,"20180.0","No formal educational credential","None","Short-term on-the-job training","2014"
"101","Cement masons and concrete finishers
 Show/hide Example Job Titles","47-2051",155.2,175.5,20.3,13.1,39.2,"39180.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
"102","Chefs and head cooks
 Show/hide Example Job Titles","35-1011",127.5,138.8,11.3,8.9,30.4,"43180.0","High school diploma or equivalent","5 years or more","None","2014"
"103","Chemical engineers
 Show/hide Example Job Titles","17-2041",34.3,34.9,0.6,1.8,10,"98340.0","Bachelor's degree","None","None","2014"
"104","Chemical equipment operators and tenders
 Show/hide Example Job Titles","51-9011",66.3,60.8,-5.5,-8.3,20.9,"47780.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"105","Chemical plant and system operators
 Show/hide Example Job Titles","51-8091",38.1,34.6,-3.5,-9.2,14.4,"59920.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"106","Chemical technicians
 Show/hide Example Job Titles","19-4031",66.5,67.7,1.2,1.9,21.1,"45840.0","Associate's degree","None","Moderate-term on-the-job training","2014"
"107","Chemistry teachers, postsecondary
 Show/hide Example Job Titles","25-1052",26.6,30.7,4.1,15.4,8.8,"76750.0","Doctoral or professional degree","None","None","2014"
"108","Chemists
 Show/hide Example Job Titles","19-2031",91.1,93.5,2.4,2.6,22.4,"73740.0","Bachelor's degree","None","None","2014"
"109","Chief executives
 Show/hide Example Job Titles","11-1011",343.4,339.4,-4.1,-1.2,58.4,"181210.0","Bachelor's degree","5 years or more","None","2014"
"110","Child, family, and school social workers
 Show/hide Example Job Titles","21-1021",305.2,324.2,19,6.2,92.5,"43250.0","Bachelor's degree","None","None","2014"
"111","Childcare workers
 Show/hide Example Job Titles","39-9011",1260.6,1329.9,69.3,5.5,441.3,"21170.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"112","Chiropractors
 Show/hide Example Job Titles","29-1011",45.2,53.1,7.9,17.5,16,"67520.0","Doctoral or professional degree","None","None","2014"
"113","Choreographers
 Show/hide Example Job Titles","27-2032",7.1,7.5,0.4,6.3,2.7,"48240.0","High school diploma or equivalent","5 years or more","Long-term on-the-job training","2014"
"114","Civil engineering technicians
 Show/hide Example Job Titles","17-3022",74,77.6,3.5,4.8,21.6,"49980.0","Associate's degree","None","None","2014"
"115","Civil engineers
 Show/hide Example Job Titles","17-2051",281.4,305,23.6,8.4,106.7,"83540.0","Bachelor's degree","None","None","2014"
"116","Claims adjusters, examiners, and investigators
 Show/hide Example Job Titles","13-1031",299.7,309.5,9.8,3.3,84,"63680.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"117","Cleaners of vehicles and equipment
 Show/hide Example Job Titles","53-7061",346.9,380,33.1,9.5,154,"22220.0","No formal educational credential","None","Short-term on-the-job training","2014"
"118","Cleaning, washing, and metal pickling equipment operators and tenders
 Show/hide Example Job Titles","51-9192",18.5,18.6,0.1,0.4,4.9,"28550.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
"119","Clergy
 Show/hide Example Job Titles","21-2011",244.2,258,13.8,5.6,66.3,"45740.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"120","Clinical, counseling, and school psychologists
 Show/hide Example Job Titles","19-3031",155.3,185.9,30.5,19.6,63.8,"73270.0","Doctoral or professional degree","None","Internship/residency","2014"
"121","Coaches and scouts
 Show/hide Example Job Titles","27-2022",250.6,265.4,14.8,5.9,99.4,"31460.0","Bachelor's degree","None","None","2014"
"122","Coating, painting, and spraying machine setters, operators, and tenders
 Show/hide Example Job Titles","51-9121",97.7,97,-0.7,-0.7,18.4,"32790.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"123","Coil winders, tapers, and finishers
 Show/hide Example Job Titles","51-2021",14.9,14.1,-0.9,-5.7,1.8,"33940.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"124","Coin, vending, and amusement machine servicers and repairers
 Show/hide Example Job Titles","49-9091",34.9,31.9,-3,-8.7,4.6,"33070.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"125","Combined food preparation and serving workers, including fast food
 Show/hide Example Job Titles","35-3021",3159.7,3503.2,343.5,10.9,1364.6,"19440.0","No formal educational credential","None","Short-term on-the-job training","2014"
"126","Commercial and industrial designers
 Show/hide Example Job Titles","27-1021",38.4,39.2,0.8,2,9.9,"67790.0","Bachelor's degree","None","None","2014"
"127","Commercial divers
 Show/hide Example Job Titles","49-9092",4.4,6,1.6,36.9,2.3,"49090.0","Postsecondary nondegree award","None","Moderate-term on-the-job training","2014"
"128","Commercial pilots
 Show/hide Example Job Titles","53-2012",43.5,48,4.5,10.5,15.1,"77200.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"129","Communications equipment operators, all other
 Show/hide Example Job Titles","43-2099",3.3,3.5,0.2,5.6,0.8,"39640.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"130","Communications teachers, postsecondary
 Show/hide Example Job Titles","25-1122",36,39.5,3.5,9.7,9.9,"65640.0","Doctoral or professional degree","None","None","2014"
"131","Community and social service specialists, all other
 Show/hide Example Job Titles","21-1099",102.7,111.1,8.4,8.2,28.6,"43120.0","Master's degree","None","None","2014"
"132","Community health workers
 Show/hide Example Job Titles","21-1094",54.3,62.4,8.1,14.9,18.8,"37330.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"133","Compensation and benefits managers
 Show/hide Example Job Titles","442614.0",16.9,18,1.1,6.5,6,"116240.0","Bachelor's degree","5 years or more","None","2014"
"134","Compensation, benefits, and job analysis specialists
 Show/hide Example Job Titles","13-1141",84.7,88.1,3.4,4,24,"62080.0","Bachelor's degree","Less than 5 years","None","2014"
"135","Compliance officers
 Show/hide Example Job Titles","13-1041",260.3,269,8.7,3.3,45.3,"66540.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"136","Computer and information research scientists
 Show/hide Example Job Titles","15-1111",25.6,28.3,2.7,10.7,6,"111840.0","Doctoral or professional degree","None","None","2014"
"137","Computer and information systems managers
 Show/hide Example Job Titles","409743.0",348.5,402.2,53.7,15.4,94.8,"135800.0","Bachelor's degree","5 years or more","None","2014"
"138","Computer hardware engineers
 Show/hide Example Job Titles","17-2061",77.7,80.1,2.4,3.1,18.4,"115080.0","Bachelor's degree","None","None","2014"
"139","Computer network architects
 Show/hide Example Job Titles","15-1143",146.2,158.9,12.7,8.7,31.5,"101210.0","Bachelor's degree","5 years or more","None","2014"
"140","Computer network support specialists
 Show/hide Example Job Titles","15-1152",181,194.6,13.6,7.5,36.9,"62670.0","Associate's degree","None","None","2014"
"141","Computer numerically controlled machine tool programmers, metal and plastic
 Show/hide Example Job Titles","51-4012",25.1,29.9,4.8,18.9,12.4,"50580.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"142","Computer occupations, all other
 Show/hide Example Job Titles","15-1199",233,240.8,7.7,3.3,37.7,"86510.0","Bachelor's degree","None","None","2014"
"143","Computer operators
 Show/hide Example Job Titles","43-9011",61.1,49.5,-11.6,-19,4.6,"42270.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"144","Computer programmers
 Show/hide Example Job Titles","15-1131",328.6,302.2,-26.5,-8,81,"79840.0","Bachelor's degree","None","None","2014"
"145","Computer science teachers, postsecondary
 Show/hide Example Job Titles","25-1021",43.4,47.2,3.8,8.7,11.5,"77570.0","Doctoral or professional degree","None","None","2014"
"146","Computer systems analysts
 Show/hide Example Job Titles","15-1121",567.8,686.3,118.6,20.9,191.6,"87220.0","Bachelor's degree","None","None","2014"
"147","Computer user support specialists
 Show/hide Example Job Titles","15-1151",585.9,661,75.1,12.8,150.5,"49390.0","Some college, no degree","None","None","2014"
"148","Computer, automated teller, and office machine repairers
 Show/hide Example Job Titles","49-2011",131.6,134.8,3.2,2.4,28.6,"37100.0","Some college, no degree","None","Short-term on-the-job training","2014"
"149","Computer-controlled machine tool operators, metal and plastic
 Show/hide Example Job Titles","51-4011",148.8,174.8,26,17.5,71.2,"37880.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"150","Concierges
 Show/hide Example Job Titles","39-6012",31.2,34.4,3.3,10.4,9.6,"29250.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"151","Conservation scientists
 Show/hide Example Job Titles","19-1031",21.1,22.5,1.4,6.9,10.6,"61810.0","Bachelor's degree","None","None","2014"
"152","Construction and building inspectors
 Show/hide Example Job Titles","47-4011",101.2,109.2,8.1,8,36.3,"58480.0","High school diploma or equivalent","5 years or more","Moderate-term on-the-job training","2014"
"153","Construction and related workers, all other
 Show/hide Example Job Titles","47-4099",35.4,37.8,2.4,6.9,7.8,"36890.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"154","Construction laborers
 Show/hide Example Job Titles","47-2061",1159.1,1306.5,147.4,12.7,378.6,"33430.0","No formal educational credential","None","Short-term on-the-job training","2014"
"155","Construction managers
 Show/hide Example Job Titles","2601198.0",373.2,391.1,17.8,4.8,70.1,"89300.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"156","Continuous mining machine operators
 Show/hide Example Job Titles","47-5041",12.3,11.6,-0.6,-5.3,2.4,"51840.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
"157","Control and valve installers and repairers, except mechanical door
 Show/hide Example Job Titles","49-9012",42.4,42.6,0.2,0.5,16.9,"54520.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"158","Conveyor operators and tenders
 Show/hide Example Job Titles","53-7011",39.7,39.6,-0.1,-0.2,11.5,"31410.0","No formal educational credential","None","Short-term on-the-job training","2014"
"159","Cooks, all other
 Show/hide Example Job Titles","35-2019",21.5,22.8,1.3,6,7,"27120.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
"160","Cooks, fast food
 Show/hide Example Job Titles","35-2011",524.4,444,-80.4,-15.3,138.7,"19860.0","No formal educational credential","None","Short-term on-the-job training","2014"
"161","Cooks, institution and cafeteria
 Show/hide Example Job Titles","35-2012",417.6,443.9,26.3,6.3,136.8,"24750.0","No formal educational credential","None","Short-term on-the-job training","2014"
"162","Cooks, private household
 Show/hide Example Job Titles","35-2013",35.9,36.2,0.2,0.6,9.7,"32060.0","Postsecondary nondegree award","Less than 5 years","None","2014"
"163","Cooks, restaurant
 Show/hide Example Job Titles","35-2014",1109.7,1268.7,158.9,14.3,452.5,"24140.0","No formal educational credential","Less than 5 years","Moderate-term on-the-job training","2014"
"164","Cooks, short order
 Show/hide Example Job Titles","35-2015",181.6,172.3,-9.3,-5.1,48,"21890.0","No formal educational credential","None","Short-term on-the-job training","2014"
"165","Cooling and freezing equipment operators and tenders
 Show/hide Example Job Titles","51-9193",8.8,8.7,-0.1,-0.6,1.8,"29190.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"166","Correctional officers and jailers
 Show/hide Example Job Titles","33-3012",457.6,474.7,17.1,3.7,143,"42820.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"167","Correspondence clerks
 Show/hide Example Job Titles","43-4021",8.4,7.2,-1.2,-14.7,2.3,"36370.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"168","Cost estimators
 Show/hide Example Job Titles","13-1051",213.5,232.3,18.7,8.8,79.5,"61790.0","Bachelor's degree","None","None","2014"
