"","occupation","code","employ1","employ2","change_number","change_percent","job_change_number","annual_wage","education","work_experience","job_training","year"
"552","Occupational therapy assistants
 Show/hide Example Job Titles","31-2011",33,47.1,14.1,42.7,23.6,"59010.0","Associate's degree","None","None","2014"
"553","Office and administrative support workers, all other
 Show/hide Example Job Titles","43-9199",264.5,282.9,18.4,7,89.5,"34020.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"554","Office clerks, general
 Show/hide Example Job Titles","43-9061",3062.5,3158.2,95.8,3.1,756.2,"30580.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"555","Office machine operators, except computer
 Show/hide Example Job Titles","43-9071",69.6,58,-11.5,-16.6,15.8,"30460.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"556","Operating engineers and other construction equipment operators
 Show/hide Example Job Titles","47-2073",363.4,400.6,37.2,10.2,97.8,"45890.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"557","Operations research analysts
 Show/hide Example Job Titles","15-2031",91.3,118.9,27.6,30.2,43.9,"79200.0","Bachelor's degree","None","None","2014"
"558","Ophthalmic laboratory technicians
 Show/hide Example Job Titles","51-9083",30.2,33.2,3,9.8,10.2,"30640.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"559","Ophthalmic medical technicians
 Show/hide Example Job Titles","29-2057",37,46.1,9.1,24.7,12.8,"35530.0","Postsecondary nondegree award","None","None","2014"
"560","Opticians, dispensing
 Show/hide Example Job Titles","29-2081",75.2,93,17.8,23.7,37.9,"35530.0","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"561","Optometrists
 Show/hide Example Job Titles","29-1041",40.6,51.6,11,27,25.5,"106140.0","Doctoral or professional degree","None","None","2014"
"562","Oral and maxillofacial surgeons
 Show/hide Example Job Titles","29-1022",6.8,8,1.2,17.9,2.6,">=208,000","Doctoral or professional degree","None","Internship/residency","2014"
"563","Order clerks
 Show/hide Example Job Titles","43-4151",195.9,194.3,-1.5,-0.8,53.1,"33370.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"564","Orderlies
 Show/hide Example Job Titles","31-1015",53,58.8,5.8,10.9,17.8,"26690.0","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"565","Orthodontists
 Show/hide Example Job Titles","29-1023",8.2,9.7,1.5,18.3,3.2,">=208,000","Doctoral or professional degree","None","Internship/residency","2014"
"566","Orthotists and prosthetists
 Show/hide Example Job Titles","29-2091",8.3,10.1,1.9,22.6,2.7,"65630.0","Master's degree","None","Internship/residency","2014"
"567","Outdoor power equipment and other small engine mechanics
 Show/hide Example Job Titles","49-3053",32.3,33.8,1.5,4.8,8.1,"33730.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"568","Packaging and filling machine operators and tenders
 Show/hide Example Job Titles","51-9111",378.4,382.2,3.8,1,138.7,"28290.0","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"569","Packers and packagers, hand
 Show/hide Example Job Titles","53-7064",695.4,706.9,11.5,1.7,196.4,"22130.0","No formal educational credential","None","Short-term on-the-job training","2014"
"570","Painters, construction and maintenance
 Show/hide Example Job Titles","47-2141",360.5,387.1,26.5,7.4,83.9,"37570.0","No formal educational credential","None","Moderate-term on-the-job training","2014"
