"","employment","Total","median","code","year","code2","degrees","number","edu"
"551","Fence erectors",33.5,"–","47-4031","2014","47-403","less.hs",13.06,"hs-"
"552","File clerks",214.5,"42.9","43-4071","2014","43-407","less.hs",7.29,"hs-"
"553","Financial analysts",291.5,"38.299999999999997","13-2051","2014","13-205","less.hs",0.87,"hs-"
"554","Financial clerks, all other",67,"41.7","43-3099","2014","43-309","less.hs",0.8,"hs-"
"555","Financial examiners",15.5,"–","13-2061","2014","13-206","less.hs",0,"hs-"
"556","Financial specialists, all other",82,"44.4","13-2099","2014","13-209","less.hs",0.9,"hs-"
"557","Firefighters",296.5,"39.6","33-2011","2014","33-201","less.hs",2.08,"hs-"
"558","First-line supervisors of construction trades and extraction workers",704,"46.9","47-1011","2014","47-101","less.hs",102.08,"hs-"
"559","First-line supervisors of correctional officers",50.5,"–","33-1011","2014","33-101","less.hs",0.5,"hs-"
"560","First-line supervisors of farming, fishing, and forestry workers",49,"–","45-1011","2014","45-101","less.hs",15.04,"hs-"
"561","First-line supervisors of fire fighting and prevention workers",53.5,"47.8","33-1021","2014","33-102","less.hs",0.21,"hs-"
"562","First-line supervisors of housekeeping and janitorial workers",287.5,"47.5","37-1011","2014","37-101","less.hs",43.41,"hs-"
"563","First-line supervisors of mechanics, installers, and repairers",273,"48.5","49-1011","2014","49-101","less.hs",17.75,"hs-"
"564","First-line supervisors of office and administrative support workers",1412.5,"45.6","43-1011","2014","43-101","less.hs",38.14,"hs-"
"565","First-line supervisors of personal service workers",193.5,"44.6","39-1021","2014","39-102","less.hs",8.71,"hs-"
"566","First-line supervisors of production and operating workers",803,"45.8","51-1011","2014","51-101","less.hs",81.91,"hs-"
"567","First-line supervisors of protective service workers, all other",86,"46.7","33-1099","2014","33-109","less.hs",1.38,"hs-"
"568","First-line supervisors of retail sales workers",3265,"43","41-1011","2014","41-101","less.hs",189.37,"hs-"
"569","Flight attendants",89,"46.8","53-2031","2014","53-203","less.hs",1.25,"hs-"
"570","Food and tobacco roasting, baking, and drying machine operators and tenders",12,"–","51-3091","2014","51-309","less.hs",2.74,"hs-"
"571","Food preparation workers",871.5,"27.1","35-2021","2014","35-202","less.hs",236.18,"hs-"
"572","Food servers, nonrestaurant",187.5,"36","35-3041","2014","35-304","less.hs",29.44,"hs-"
"573","Forest and conservation workers",18,"–","45-4011","2014","45-401","less.hs",4.64,"hs-"
"574","Fundraisers",84.5,"40.5","13-1131","2014","13-113","less.hs",0.42,"hs-"
"575","Furnace, kiln, oven, drier, and kettle operators and tenders",8,"–","51-9051","2014","51-905","less.hs",2.08,"hs-"
"576","Furniture finishers",11,"–","51-7021","2014","51-702","less.hs",2.87,"hs-"
"577","Gaming cage workers",14,"–","43-3041","2014","43-304","less.hs",1.29,"hs-"
"578","General and operations managers",893,"45.1","11-1021","2014","11-102","less.hs",20.54,"hs-"
"579","Glaziers",41,"–","47-2121","2014","47-212","less.hs",8.4,"hs-"
"580","Graders and sorters, agricultural products",95,"39.4","45-2041","2014","45-204","less.hs",52.06,"hs-"
"581","Hazardous materials removal workers",32.5,"–","47-4041","2014","47-404","less.hs",7.74,"hs-"
"582","Health diagnosing and treating practitioners, all other",20.5,"–","29-1199","2014","29-119","less.hs",0.25,"hs-"
"583","Heating, air conditioning, and refrigeration mechanics and installers",393,"41.7","49-9021","2014","49-902","less.hs",42.84,"hs-"
"584","Highway maintenance workers",113,"47.5","47-4051","2014","47-405","less.hs",14.24,"hs-"
"585","Home appliance repairers",52,"49.6","49-9031","2014","49-903","less.hs",6.24,"hs-"
"586","Hosts and hostesses, restaurant, lounge, and coffee shop",295,"21.8","35-9031","2014","35-903","less.hs",33.63,"hs-"
"587","Hotel, motel, and resort desk clerks",138,"30","43-4081","2014","43-408","less.hs",8.69,"hs-"
"588","Human resources assistants, except payroll and timekeeping",80,"42.8","43-4161","2014","43-416","less.hs",1.36,"hs-"
"589","Industrial truck and tractor operators",576.5,"41.4","53-7051","2014","53-705","less.hs",126.83,"hs-"
"590","Information and record clerks, all other",111,"43.9","43-4199","2014","43-419","less.hs",2.44,"hs-"
"591","Inspectors, testers, sorters, samplers, and weighers",752,"43.1","51-9061","2014","51-906","less.hs",80.46,"hs-"
"592","Insurance claims and policy processing clerks",287.5,"43.7","43-9041","2014","43-904","less.hs",4.6,"hs-"
"593","Insurance sales agents",588.5,"46.1","41-3021","2014","41-302","less.hs",8.83,"hs-"
"594","Interviewers, except eligibility and loan",155.5,"41.2","43-4111","2014","43-411","less.hs",3.58,"hs-"
"595","Jewelers and precious stone and metal workers",44,"–","51-9071","2014","51-907","less.hs",7.96,"hs-"
"596","Laundry and dry-cleaning workers",174,"47.5","51-6011","2014","51-601","less.hs",57.25,"hs-"
"597","Librarians",182,"49.1","25-4021","2014","25-402","less.hs",0.73,"hs-"
"598","Library assistants, clerical",98,"40.200000000000003","43-4121","2014","43-412","less.hs",1.57,"hs-"
"599","Library technicians",33.5,"–","25-4031","2014","25-403","less.hs",0.87,"hs-"
"600","Licensed practical and licensed vocational nurses",655.5,"43.3","29-2061","2014","29-206","less.hs",9.83,"hs-"
"601","Loan interviewers and clerks",141,"39.200000000000003","43-4131","2014","43-413","less.hs",2.82,"hs-"
"602","Logisticians",108.5,"42.2","13-1081","2014","13-108","less.hs",1.41,"hs-"
"603","Machinists",377,"44.7","51-4041","2014","51-404","less.hs",40.34,"hs-"
"604","Mail clerks and mail machine operators, except postal service",80,"42.2","43-9051","2014","43-905","less.hs",5.76,"hs-"
"605","Maintenance and repair workers, general",499,"48.3","49-9071","2014","49-907","less.hs",69.86,"hs-"
"606","Management analysts",849,"46","13-1111","2014","13-111","less.hs",5.94,"hs-"
"607","Marine engineers and naval architects",10,"–","17-2121","2014","17-212","less.hs",0.18,"hs-"
"608","Market research analysts and marketing specialists",272.5,"37.6","13-1161","2014","13-116","less.hs",2.45,"hs-"
"609","Massage therapists",180.5,"42.4","31-9011","2014","31-901","less.hs",5.23,"hs-"
"610","Materials engineers",37.5,"–","17-2131","2014","17-213","less.hs",0.26,"hs-"
"611","Mechanical engineers",313,"42.6","17-2141","2014","17-214","less.hs",1.88,"hs-"
"612","Medical records and health information technicians",169,"46.5","29-2071","2014","29-207","less.hs",2.37,"hs-"
"613","Meeting, convention, and event planners",157.5,"34.299999999999997","13-1121","2014","13-112","less.hs",1.89,"hs-"
"614","Meter readers, utilities",32,"–","43-5041","2014","43-504","less.hs",1.02,"hs-"
"615","Morticians, undertakers, and funeral directors",32,"–","39-4031","2014","39-403","less.hs",0.38,"hs-"
"616","Motion picture projectionists",5,"–","39-3021","2014","39-302","less.hs",0.14,"hs-"
"617","Motor vehicle operators, all other",56,"55.9","53-3099","2014","53-309","less.hs",6.33,"hs-"
"618","New accounts clerks",26.5,"–","43-4141","2014","43-414","less.hs",0.4,"hs-"
"619","Nonfarm animal caretakers",226.5,"31.6","39-2021","2014","39-202","less.hs",19.48,"hs-"
"620","Nurse anesthetists",28.5,"–","29-1151","2014","29-115","less.hs",0,"hs-"
"621","Occupational therapists",113.5,"40.799999999999997","29-1122","2014","29-112","less.hs",0.23,"hs-"
"622","Office clerks, general",1259,"44.3","43-9061","2014","43-906","less.hs",46.58,"hs-"
"623","Office machine operators, except computer",38,"–","43-9071","2014","43-907","less.hs",2.62,"hs-"
"624","Operations research analysts",130.5,"44.1","15-2031","2014","15-203","less.hs",0.78,"hs-"
"625","Opticians, dispensing",49,"–","29-2081","2014","29-208","less.hs",1.18,"hs-"
"626","Optometrists",43.5,"–","29-1041","2014","29-104","less.hs",0,"hs-"
"627","Packaging and filling machine operators and tenders",254.5,"40.700000000000003","51-9111","2014","51-911","less.hs",88.31,"hs-"
"628","Paralegals and legal assistants",408.5,"42.6","23-2011","2014","23-201","less.hs",3.68,"hs-"
"629","Parking lot attendants",84.5,"31.6","53-6021","2014","53-602","less.hs",13.6,"hs-"
"630","Paving, surfacing, and tamping equipment operators",15.5,"–","47-2071","2014","47-207","less.hs",4.74,"hs-"
"631","Payroll and timekeeping clerks",142,"46.3","43-3051","2014","43-305","less.hs",2.84,"hs-"
"632","Personal care aides",1252.5,"45.1","39-9021","2014","39-902","less.hs",206.66,"hs-"
"633","Personal care and service workers, all other",140,"38","39-9099","2014","39-909","less.hs",12.18,"hs-"
"634","Pest control workers",82.5,"42.9","37-2021","2014","37-202","less.hs",6.44,"hs-"
"635","Pharmacists",287.5,"42","29-1051","2014","29-105","less.hs",0,"hs-"
"636","Photographers",177,"38.9","27-4021","2014","27-402","less.hs",3.36,"hs-"
"637","Photographic process workers and processing machine operators",30,"–","51-9151","2014","51-915","less.hs",0.96,"hs-"
"638","Physical scientists, all other",207.5,"42.9","19-2099","2014","19-209","less.hs",0,"hs-"
"639","Physician assistants",79,"38.700000000000003","29-1071","2014","29-107","less.hs",0.16,"hs-"
"640","Plasterers and stucco masons",29.5,"–","47-2161","2014","47-216","less.hs",14.63,"hs-"
"641","Podiatrists",11.5,"–","29-1081","2014","29-108","less.hs",0,"hs-"
"642","Postal service clerks",123.5,"52.3","43-5051","2014","43-505","less.hs",3.7,"hs-"
"643","Prepress technicians and workers",23.5,"–","51-5111","2014","51-511","less.hs",2.04,"hs-"
"644","Pressers, textile, garment, and related materials",41,"–","51-6021","2014","51-602","less.hs",18.57,"hs-"
"645","Private detectives and investigators",99,"43.1","33-9021","2014","33-902","less.hs",0.59,"hs-"
"646","Procurement clerks",35.5,"–","43-3061","2014","43-306","less.hs",0.28,"hs-"
"647","Production, planning, and expediting clerks",265,"45.9","43-5061","2014","43-506","less.hs",6.89,"hs-"
"648","Proofreaders and copy markers",9,"–","43-9081","2014","43-908","less.hs",0.05,"hs-"
"649","Public relations specialists",141.5,"38.299999999999997","27-3031","2014","27-303","less.hs",1.13,"hs-"
"650","Rail-track laying and maintenance equipment operators",14,"–","47-4061","2014","47-406","less.hs",0.87,"hs-"
"651","Railroad conductors and yardmasters",49,"–","53-4031","2014","53-403","less.hs",0.44,"hs-"
"652","Receptionists and information clerks",1266.5,"37","43-4171","2014","43-417","less.hs",50.66,"hs-"
"653","Refuse and recyclable material collectors",90.5,"41.7","53-7081","2014","53-708","less.hs",25.16,"hs-"
"654","Registered nurses",2930.5,"43.7","29-1141","2014","29-114","less.hs",8.79,"hs-"
"655","Religious workers, all other",70.5,"44.6","21-2099","2014","21-209","less.hs",1.69,"hs-"
"656","Reservation and transportation ticket agents and travel clerks",102.5,"42.4","43-4181","2014","43-418","less.hs",2.05,"hs-"
"657","Residential advisors",40.5,"–","39-9041","2014","39-904","less.hs",1.86,"hs-"
"658","Retail salespersons",3331,"35.700000000000003","41-2031","2014","41-203","less.hs",226.51,"hs-"
"659","Roofers",213.5,"36.1","47-2181","2014","47-218","less.hs",99.49,"hs-"
"660","Sales engineers",42.5,"–","41-9031","2014","41-903","less.hs",0.26,"hs-"
"661","Sales representatives, services, all other",479.5,"41.4","41-3099","2014","41-309","less.hs",9.59,"hs-"
"662","Sawing machine setters, operators, and tenders, wood",30.5,"–","51-7041","2014","51-704","less.hs",9.06,"hs-"
"663","Securities, commodities, and financial services sales agents",257,"41.1","41-3031","2014","41-303","less.hs",2.57,"hs-"
"664","Sewing machine operators",177,"50.8","51-6031","2014","51-603","less.hs",74.52,"hs-"
"665","Sheet metal workers",116,"44.1","47-2211","2014","47-221","less.hs",17.52,"hs-"
"666","Shipping, receiving, and traffic clerks",590.5,"41.5","43-5071","2014","43-507","less.hs",74.4,"hs-"
"667","Stationary engineers and boiler operators",88.5,"49.9","51-8021","2014","51-802","less.hs",5.4,"hs-"
"668","Statistical assistants",20,"–","43-9111","2014","43-911","less.hs",0.62,"hs-"
"669","Stock clerks and order fillers",1506,"34.799999999999997","43-5081","2014","43-508","less.hs",189.76,"hs-"
"670","Structural iron and steel workers",55,"41.2","47-2221","2014","47-222","less.hs",8.86,"hs-"
"671","Structural metal fabricators and fitters",28,"–","51-2041","2014","51-204","less.hs",4.26,"hs-"
"672","Surveying and mapping technicians",71,"40.6","17-3031","2014","17-303","less.hs",4.54,"hs-"
"673","Switchboard operators, including answering service",17.5,"–","43-2011","2014","43-201","less.hs",0.65,"hs-"
"674","Tax examiners and collectors, and revenue agents",64,"44.1","13-2081","2014","13-208","less.hs",0.9,"hs-"
"675","Taxi drivers and chauffeurs",414.5,"49","53-3041","2014","53-304","less.hs",60.1,"hs-"
"676","Teacher assistants",932,"45","25-9041","2014","25-904","less.hs",39.14,"hs-"
"677","Telemarketers",67.5,"34.700000000000003","41-9041","2014","41-904","less.hs",3.92,"hs-"
"678","Telephone operators",33.5,"–","43-2021","2014","43-202","less.hs",1.14,"hs-"
"679","Tellers",359,"31","43-3071","2014","43-307","less.hs",6.82,"hs-"
"680","Tool and die makers",57,"49.4","51-4111","2014","51-411","less.hs",3.7,"hs-"
"681","Training and development specialists",123,"43.7","13-1151","2014","13-115","less.hs",2.09,"hs-"
"682","Transportation attendants, except flight attendants",24.5,"–","53-6061","2014","53-606","less.hs",2.84,"hs-"
"683","Transportation inspectors",38,"–","53-6051","2014","53-605","less.hs",2.32,"hs-"
"684","Travel agents",85.5,"50.9","41-3041","2014","41-304","less.hs",1.11,"hs-"
"685","Urban and regional planners",24.5,"–","19-3051","2014","19-305","less.hs",0.34,"hs-"
"686","Ushers, lobby attendants, and ticket takers",49,"22.7","39-3031","2014","39-303","less.hs",3.87,"hs-"
"687","Veterinarians",85.5,"47.3","29-1131","2014","29-113","less.hs",0,"hs-"
"688","Waiters and waitresses",2055.5,"26.6","35-3031","2014","35-303","less.hs",269.27,"hs-"
"689","Water and wastewater treatment plant and system operators",80.5,"50.3","51-8031","2014","51-803","less.hs",3.14,"hs-"
"690","Weighers, measurers, checkers, and samplers, recordkeeping",73.5,"41.8","43-5111","2014","43-511","less.hs",10.36,"hs-"
"691","General and operations managers",978,"45.4","11-1021","2010","11-102","high.school",153.55,"hs-"
"692","Agents and business managers of artists, performers, and athletes",48,"–","13-1011","2010","13-101","high.school",6,"hs-"
"693","Buyers and purchasing agents, farm products",12,"–","13-1021","2010","13-102","high.school",3.5,"hs-"
"694","Compliance officers",198,"45.9","13-1041","2010","13-104","high.school",21.98,"hs-"
"695","Cost estimators",119,"44.7","13-1051","2010","13-105","high.school",28.68,"hs-"
"696","Logisticians",88,"41.6","13-1081","2010","13-108","high.school",12.23,"hs-"
"697","Management analysts",707,"46.6","13-1111","2010","13-111","high.school",33.94,"hs-"
"698","Meeting, convention, and event planners",109,"37.4","13-1121","2010","13-112","high.school",12.1,"hs-"
"699","Fundraisers",78,"41.2","13-1131","2010","13-113","high.school",3.98,"hs-"
"700","Compensation, benefits, and job analysis specialists",65,"44.4","13-1141","2010","13-114","high.school",8.64,"hs-"
"701","Training and development specialists",130,"45","13-1151","2010","13-115","high.school",16.77,"hs-"
"702","Market research analysts and marketing specialists",205,"36.4","13-1161","2010","13-116","high.school",9.43,"hs-"
"703","Business operations specialists, all other",281,"43.6","13-1199","2010","13-119","high.school",34.28,"hs-"
"704","Accountants and auditors",1653,"43.1","13-2011","2010","13-201","high.school",67.77,"hs-"
"705","Appraisers and assessors of real estate",88,"50.6","13-2021","2010","13-202","high.school",10.65,"hs-"
"706","Budget analysts",53,"45.2","13-2031","2010","13-203","high.school",3.71,"hs-"
"707","Credit analysts",24,"–","13-2041","2010","13-204","high.school",2.33,"hs-"
"708","Financial analysts",84,"39.299999999999997","13-2051","2010","13-205","high.school",2.69,"hs-"
"709","Financial examiners",8,"–","13-2061","2010","13-206","high.school",0.4,"hs-"
"710","Tax examiners and collectors, and revenue agents",70,"47.3","13-2081","2010","13-208","high.school",11.41,"hs-"
"711","Financial specialists, all other",77,"43","13-2099","2010","13-209","high.school",7.93,"hs-"
"712","Computer and information research scientists",20,"–","15-1111","2010","15-111","high.school",0.3,"hs-"
"713","Computer systems analysts",447,"43.1","15-1121","2010","15-112","high.school",21.01,"hs-"
"714","Computer programmers",459,"41.8","15-1131","2010","15-113","high.school",21.57,"hs-"
"715","Database administrators",134,"42.5","15-1141","2010","15-114","high.school",8.04,"hs-"
"716","Computer occupations, all other",306,"40.799999999999997","15-1199","2010","15-119","high.school",28.76,"hs-"
"717","Actuaries",18,"–","15-2011","2010","15-201","high.school",0,"hs-"
"718","Operations research analysts",116,"41.3","15-2031","2010","15-203","high.school",6.5,"hs-"
"719","Aerospace engineers",144,"43.9","17-2011","2010","17-201","high.school",3.17,"hs-"
"720","Chemical engineers",74,"43.1","17-2041","2010","17-204","high.school",2.22,"hs-"
"721","Civil engineers",383,"42.5","17-2051","2010","17-205","high.school",10.72,"hs-"
"722","Computer hardware engineers",77,"41.7","17-2061","2010","17-206","high.school",3.85,"hs-"
"723","Environmental engineers",45,"–","17-2081","2010","17-208","high.school",1.76,"hs-"
"724","Marine engineers and naval architects",9,"–","17-2121","2010","17-212","high.school",0.89,"hs-"
"725","Materials engineers",32,"–","17-2131","2010","17-213","high.school",2.08,"hs-"
"726","Mechanical engineers",322,"42.5","17-2141","2010","17-214","high.school",15.13,"hs-"
"727","Surveying and mapping technicians",62,"43.1","17-3031","2010","17-303","high.school",16.62,"hs-"
"728","Atmospheric and space scientists",7,"–","19-2021","2010","19-202","high.school",0,"hs-"
"729","Physical scientists, all other",152,"40.4","19-2099","2010","19-209","high.school",0,"hs-"
"730","Economists",23,"–","19-3011","2010","19-301","high.school",0.12,"hs-"
"731","Urban and regional planners",26,"–","19-3051","2010","19-305","high.school",0.08,"hs-"
"732","Agricultural and food science technicians",24,"–","19-4011","2010","19-401","high.school",6.91,"hs-"
"733","Biological technicians",21,"–","19-4021","2010","19-402","high.school",3.49,"hs-"
"734","Chemical technicians",77,"40.5","19-4031","2010","19-403","high.school",17.94,"hs-"
"735","Clergy",414,"52.5","21-2011","2010","21-201","high.school",24.84,"hs-"
"736","Directors, religious activities and education",44,"–","21-2021","2010","21-202","high.school",4,"hs-"
"737","Religious workers, all other",85,"51.5","21-2099","2010","21-209","high.school",9.86,"hs-"
"738","Paralegals and legal assistants",404,"42.8","23-2011","2010","23-201","high.school",45.25,"hs-"
"739","Librarians",198,"52","25-4021","2010","25-402","high.school",0.4,"hs-"
"740","Library technicians",37,"–","25-4031","2010","25-403","high.school",12.99,"hs-"
"741","Teacher assistants",950,"44.9","25-9041","2010","25-904","high.school",279.3,"hs-"
"742","Actors",28,"–","27-2011","2010","27-201","high.school",4.12,"hs-"
"743","Entertainers and performers, sports and related workers, all other",44,"–","27-2099","2010","27-209","high.school",9.77,"hs-"
"744","Public relations specialists",158,"39.200000000000003","27-3031","2010","27-303","high.school",7.27,"hs-"
"745","Editors",166,"41.4","27-3041","2010","27-304","high.school",4.32,"hs-"
"746","Photographers",148,"40.6","27-4021","2010","27-402","high.school",19.68,"hs-"
"747","Chiropractors",56,"48","29-1011","2010","29-101","high.school",0.28,"hs-"
"748","Dietitians and nutritionists",102,"47.7","29-1031","2010","29-103","high.school",11.42,"hs-"
"749","Optometrists",28,"–","29-1041","2010","29-104","high.school",0.03,"hs-"
"750","Pharmacists",274,"41.1","29-1051","2010","29-105","high.school",0.55,"hs-"
"751","Physician assistants",82,"37.6","29-1071","2010","29-107","high.school",2.62,"hs-"
"752","Podiatrists",6,"–","29-1081","2010","29-108","high.school",0,"hs-"
"753","Occupational therapists",112,"41.7","29-1122","2010","29-112","high.school",0.45,"hs-"
"754","Veterinarians",71,"42.6","29-1131","2010","29-113","high.school",0.57,"hs-"
"755","Registered nurses",2706,"44.7","29-1141","2010","29-114","high.school",27.06,"hs-"
"756","Nurse anesthetists",33,"–","29-1151","2010","29-115","high.school",0.16,"hs-"
"757","Audiologists",19,"–","29-1181","2010","29-118","high.school",0.38,"hs-"
"758","Health diagnosing and treating practitioners, all other",26,"–","29-1199","2010","29-119","high.school",0.7,"hs-"
"759","Dental hygienists",148,"42.2","29-2021","2010","29-202","high.school",4.29,"hs-"
"760","Emergency medical technicians and paramedics",185,"31.8","29-2041","2010","29-204","high.school",27.2,"hs-"
"761","Licensed practical and licensed vocational nurses",560,"43.2","29-2061","2010","29-206","high.school",104.72,"hs-"
"762","Medical records and health information technicians",116,"42.7","29-2071","2010","29-207","high.school",31.78,"hs-"
"763","Opticians, dispensing",51,"45.9","29-2081","2010","29-208","high.school",13.87,"hs-"
"764","Massage therapists",146,"40.5","31-9011","2010","31-901","high.school",27.16,"hs-"
"765","Dental assistants",307,"36.299999999999997","31-9091","2010","31-909","high.school",92.41,"hs-"
"766","First-line supervisors of correctional officers",42,"–","33-1011","2010","33-101","high.school",10.29,"hs-"
"767","First-line supervisors of fire fighting and prevention workers",44,"–","33-1021","2010","33-102","high.school",5.59,"hs-"
"768","First-line supervisors of protective service workers, all other",111,"47.2","33-1099","2010","33-109","high.school",23.98,"hs-"
"769","Firefighters",305,"37.299999999999997","33-2011","2010","33-201","high.school",50.02,"hs-"
"770","Detectives and criminal investigators",151,"42.3","33-3021","2010","33-302","high.school",12.23,"hs-"
"771","Animal control workers",6,"–","33-9011","2010","33-901","high.school",2.23,"hs-"
"772","Private detectives and investigators",92,"41.3","33-9021","2010","33-902","high.school",10.03,"hs-"
"773","Crossing guards",59,"53.6","33-9091","2010","33-909","high.school",25.72,"hs-"
"774","Chefs and head cooks",347,"38.799999999999997","35-1011","2010","35-101","high.school",99.59,"hs-"
"775","Food preparation workers",784,"28","35-2021","2010","35-202","high.school",301.06,"hs-"
"776","Bartenders",392,"31.8","35-3011","2010","35-301","high.school",109.76,"hs-"
"777","Combined food preparation and serving workers, including fast food",326,"28.1","35-3021","2010","35-302","high.school",147.03,"hs-"
"778","Waiters and waitresses",2059,"26.1","35-3031","2010","35-303","high.school",687.71,"hs-"
"779","Food servers, nonrestaurant",181,"32.299999999999997","35-3041","2010","35-304","high.school",75.48,"hs-"
"780","Dishwashers",273,"28.3","35-9021","2010","35-902","high.school",102.92,"hs-"
"781","Hosts and hostesses, restaurant, lounge, and coffee shop",286,"21.4","35-9031","2010","35-903","high.school",92.95,"hs-"
"782","First-line supervisors of housekeeping and janitorial workers",292,"48.9","37-1011","2010","37-101","high.school",120.3,"hs-"
"783","Pest control workers",75,"41.3","37-2021","2010","37-202","high.school",30.53,"hs-"
"784","First-line supervisors of personal service workers",192,"43.1","39-1021","2010","39-102","high.school",57.98,"hs-"
"785","Animal trainers",49,"–","39-2011","2010","39-201","high.school",15.29,"hs-"
"786","Nonfarm animal caretakers",179,"37.200000000000003","39-2021","2010","39-202","high.school",66.23,"hs-"
"787","Motion picture projectionists",8,"–","39-3021","2010","39-302","high.school",2,"hs-"
"788","Ushers, lobby attendants, and ticket takers",46,"–","39-3031","2010","39-303","high.school",15.18,"hs-"
"789","Morticians, undertakers, and funeral directors",23,"–","39-4031","2010","39-403","high.school",1.89,"hs-"
"790","Barbers",89,"45.1","39-5011","2010","39-501","high.school",41.83,"hs-"
"791","Childcare workers",1231,"37.200000000000003","39-9011","2010","39-901","high.school",406.23,"hs-"
"792","Personal care aides",1057,"43.9","39-9021","2010","39-902","high.school",366.78,"hs-"
"793","Residential advisors",59,"38.6","39-9041","2010","39-904","high.school",14.28,"hs-"
"794","Personal care and service workers, all other",105,"33.200000000000003","39-9099","2010","39-909","high.school",32.23,"hs-"
"795","First-line supervisors of retail sales workers",3217,"42.6","41-1011","2010","41-101","high.school",977.97,"hs-"
"796","Counter and rental clerks",139,"38.200000000000003","41-2021","2010","41-202","high.school",50.6,"hs-"
"797","Retail salespersons",3224,"35.9","41-2031","2010","41-203","high.school",970.42,"hs-"
"798","Advertising sales agents",254,"39.6","41-3011","2010","41-301","high.school",35.56,"hs-"
"799","Insurance sales agents",531,"45.8","41-3021","2010","41-302","high.school",81.77,"hs-"
"800","Securities, commodities, and financial services sales agents",267,"41.7","41-3031","2010","41-303","high.school",20.03,"hs-"
"801","Travel agents",69,"51.1","41-3041","2010","41-304","high.school",13.18,"hs-"
"802","Sales representatives, services, all other",503,"40.700000000000003","41-3099","2010","41-309","high.school",82.49,"hs-"
"803","Sales engineers",30,"–","41-9031","2010","41-903","high.school",1.05,"hs-"
"804","Telemarketers",108,"30.5","41-9041","2010","41-904","high.school",33.59,"hs-"
"805","Door-to-door sales workers, news and street vendors, and related workers",201,"43.8","41-9091","2010","41-909","high.school",63.52,"hs-"
"806","First-line supervisors of office and administrative support workers",1423,"45.7","43-1011","2010","43-101","high.school",335.83,"hs-"
"807","Switchboard operators, including answering service",39,"–","43-2011","2010","43-201","high.school",16.18,"hs-"
"808","Telephone operators",40,"–","43-2021","2010","43-202","high.school",13.96,"hs-"
"809","Communications equipment operators, all other",7,"–","43-2099","2010","43-209","high.school",1.25,"hs-"
"810","Bill and account collectors",211,"38.9","43-3011","2010","43-301","high.school",63.93,"hs-"
"811","Billing and posting clerks",471,"42.2","43-3021","2010","43-302","high.school",149.31,"hs-"
"812","Bookkeeping, accounting, and auditing clerks",1300,"48.5","43-3031","2010","43-303","high.school",396.5,"hs-"
"813","Gaming cage workers",5,"–","43-3041","2010","43-304","high.school",2.08,"hs-"
"814","Payroll and timekeeping clerks",168,"46.1","43-3051","2010","43-305","high.school",46.87,"hs-"
"815","Procurement clerks",26,"–","43-3061","2010","43-306","high.school",5.98,"hs-"
"816","Tellers",413,"31.8","43-3071","2010","43-307","high.school",155.7,"hs-"
"817","Financial clerks, all other",64,"41.7","43-3099","2010","43-309","high.school",15.94,"hs-"
"818","Brokerage clerks",11,"–","43-4011","2010","43-401","high.school",1.87,"hs-"
"819","Court, municipal, and license clerks",86,"48.9","43-4031","2010","43-403","high.school",25.71,"hs-"
"820","Credit authorizers, checkers, and clerks",45,"–","43-4041","2010","43-404","high.school",15.62,"hs-"
"821","Customer service representatives",1916,"37","43-4051","2010","43-405","high.school",524.98,"hs-"
"822","Eligibility interviewers, government programs",85,"42.9","43-4061","2010","43-406","high.school",11.13,"hs-"
"823","File clerks",334,"40.799999999999997","43-4071","2010","43-407","high.school",98.53,"hs-"
"824","Hotel, motel, and resort desk clerks",135,"30.1","43-4081","2010","43-408","high.school",43.34,"hs-"
"825","Interviewers, except eligibility and loan",153,"40.799999999999997","43-4111","2010","43-411","high.school",34.43,"hs-"
"826","Library assistants, clerical",113,"44.8","43-4121","2010","43-412","high.school",21.36,"hs-"
"827","Loan interviewers and clerks",117,"40.4","43-4131","2010","43-413","high.school",32.76,"hs-"
"828","New accounts clerks",33,"–","43-4141","2010","43-414","high.school",10.53,"hs-"
"829","Human resources assistants, except payroll and timekeeping",40,"–","43-4161","2010","43-416","high.school",7.96,"hs-"
"830","Receptionists and information clerks",1259,"38.299999999999997","43-4171","2010","43-417","high.school",453.24,"hs-"
"831","Reservation and transportation ticket agents and travel clerks",99,"42.6","43-4181","2010","43-418","high.school",24.65,"hs-"
"832","Information and record clerks, all other",118,"45.7","43-4199","2010","43-419","high.school",25.49,"hs-"
"833","Cargo and freight agents",8,"–","43-5011","2010","43-501","high.school",2.8,"hs-"
"834","Couriers and messengers",249,"46.5","43-5021","2010","43-502","high.school",89.14,"hs-"
"835","Meter readers, utilities",28,"–","43-5041","2010","43-504","high.school",12.04,"hs-"
"836","Postal service clerks",146,"53.1","43-5051","2010","43-505","high.school",48.76,"hs-"
"837","Production, planning, and expediting clerks",236,"44.1","43-5061","2010","43-506","high.school",61.6,"hs-"
"838","Shipping, receiving, and traffic clerks",559,"40","43-5071","2010","43-507","high.school",250.43,"hs-"
"839","Stock clerks and order fillers",1503,"34.200000000000003","43-5081","2010","43-508","high.school",649.3,"hs-"
"840","Weighers, measurers, checkers, and samplers, recordkeeping",70,"44.9","43-5111","2010","43-511","high.school",27.09,"hs-"
"841","Computer operators",126,"48.9","43-9011","2010","43-901","high.school",31,"hs-"
"842","Data entry keyers",334,"40","43-9021","2010","43-902","high.school",101.87,"hs-"
